taxon,18S,atpB,ndhF,trnL-trnF,
Allium_tribracteatum,,,,KC139039.2,
Allium_yosemitense,,,,KC139043.2,
Allium_validum,HF934585.1,,,KC139042.2,
Allophyllum_divaricatum,,,AF207965.1,EU348381.1,
Allophyllum_gilioides,,,,HQ117057.1,
Allophyllum_glutinosum,,,,,
Allophyllum_integrifolium,,,,EU348380.1,
Allotropa_virgata,,,,,
Alnus_viridis,AY263900.1,AY147101.1,EU002196.1,AY147067.1,
Alnus_incana,,,KP244645.1,FJ012048.1,
Alnus_rhombifolia,,,,,
Alnus_rubra,,AF132889.1,,KF419073.1,
Alopecurus_aequalis,,,,EU639572.1,
Alopecurus_carolinianus,,,,,
Alopecurus_geniculatus,,,,DQ631433.1,
Alopecurus_saccatus,,,,,
Aloysia_wrightii,,,HM216690.1,HM216594.1,
Amaranthus_blitoides,,,AY959885.1,,
Amaranthus_californicus,,,,,
Amaranthus_fimbriatus,,,,,
Amaranthus_palmeri,,,AF194821.1,,
Amaranthus_powellii,,,,,
Amaranthus_torreyi,,,,,
Amaranthus_watsonii,,,,,
Amauriopsis_dissecta,,,GU817832.1,GU817944.1,
Hymenothrix_wrightii,,,,,
Amblyopappus_pusillus,,,AF384692.3,AY216140.1,
Ambrosia_acanthicarpa,,,,,
Ambrosia_ambrosioides,,,,,
Ambrosia_chamissonis,,,,,
Ambrosia_chenopodiifolia,,,,,
Ambrosia_confertiflora,,,,,
Ambrosia_dumosa,,,,,
Ambrosia_eriocentra,,,,,
Ambrosia_ilicifolia,,,,,
Ambrosia_monogyra,,,,,
Ambrosia_psilostachya,,,,,
Ambrosia_pumila,,,,,
Ambrosia_salsola,,,,,
Amelanchier_alnifolia,,,,JQ392200.1,
Amelanchier_utahensis,,,,JQ392190.1,
Ammannia_coccinea,,,,,
Ammannia_robusta,,,,,
Ammoselinum_giganteum,,,,,
Amorpha_californica,,,,,
Amorpha_fruticosa,,,,,
Amphiscirpus_nevadensis,,,AY129254.1,AF285066.1,
Amsonia_tomentosa,,,,,
Anagallis_minima,,,AY839968.1,AY855120.1,
Anaphalis_margaritacea,,,HM445660.1,FN645762.1,
Ancistrocarphus_filagineus,,,,,
Ancistrocarphus_keilii,,,,,
Andropogon_glomeratus,,,,DQ004953.1,
Androsace_filiformis,,,,AY274955.1,
Androsace_elongata,,,,AY275014.1,
Androsace_occidentalis,,,,EU655584.1,
Androsace_septentrionalis,,,AF421116.1,EU655581.1,
Androstephium_breviflorum,,,AF508349.1,AF508460.1,
Anelsonia_eurycarpa,,,DQ288729.1,JX146081.1,
Anemone_deltoidea,,,,,
Anemone_drummondii,,FJ639848.1,,,
Anemone_grayi,,,,,
Anemone_lyallii,,,,,
Anemone_multifida,,AF386083.1,,,
Anemone_occidentalis,,EU053873.1,,,
Anemone_oregana,,,,,
Anemone_tuberosa,,FJ639861.1,,,
Anemopsis_californica,AF197576.1,AF197608.1,,AF332965.1,
Angelica_arguta,,,,,
Angelica_breweri,,,,,
Angelica_californica,,,,,
Angelica_callii,,,,,
Angelica_genuflexa,,,,,
Angelica_hendersonii,,,,,
Angelica_kingii,,,,,
Angelica_lineariloba,,,,,
Angelica_lucida,,,,,
Angelica_tomentosa,,,,,
Sphenosciadium_capitellatum,,,,,
Antennaria_argentea,,,,,
Antennaria_corymbosa,,,,,
Antennaria_dimorpha,,,,,
Antennaria_flagellaris,,,,,
Antennaria_geyeri,,,,,
Antennaria_howellii,,,L39436.1,,
Antennaria_luzuloides,,,,,
Antennaria_marginata,,,,,
Antennaria_media,,,,,
Antennaria_microphylla,,,HM445711.1,HM364534.1,
Antennaria_pulchella,,,,,
Antennaria_racemosa,,,,,
Antennaria_rosea,,,,,
Antennaria_suffrutescens,,,,,
Antennaria_umbrinella,,,,,
Anthoxanthum_nitens,,,,EF137605.1,
Anthoxanthum_occidentale,,,,KC698986.1,
Antirrhinum_cornutum,,,,,
Antirrhinum_coulterianum,,,,,
Antirrhinum_cyathiferum,,,JN848493.1,,
Antirrhinum_filipes,,,,,
Antirrhinum_kelloggii,,,,,
Antirrhinum_kingii,,,,,
Antirrhinum_leptaleum,,,,,
Antirrhinum_multiflorum,,,,AF482607.1,
Antirrhinum_nuttallianum,,,JN848494.1,AY316709.1,
Antirrhinum_ovatum,,,,,
Antirrhinum_subcordatum,,,,,
Antirrhinum_vexillocalyculatum,,,,,
Antirrhinum_virga,,,,,
Mohavea_breviflora,,,,AF479011.1,
Mohavea_confertiflora,,,AJ250389.1,,
Anulocaulis_annulatus,,,,,
Aphanes_occidentalis,,,,,
Aphanisma_blitoides,,,AY858628.1,AY858601.1,
Apiastrum_angustifolium,,,,,
Apocynum_androsaemifolium,,AF209529.1,,EF456130.1,
Apocynum_cannabinum,,HQ384762.1,HQ384846.1,HQ412961.1,
Aquilegia_pubescens,,,,,
Aquilegia_eximia,,,,,
Aquilegia_formosa,,,,,
Aquilegia_shockleyi,,,,,
Arabis_blepharophylla,,,,FJ188136.1,
Arabis_eschscholtziana,,,,FJ188046.1,
Arabis_mcdonaldiana,,,,,
Arabis_modesta,,,,GU182008.1,
Arabis_oregana,,,,GU182035.1,
Arabis_pycnocarpa,,,,KF547452.1,
Aralia_californica,,,AY171069.1,,
Arbutus_menziesii,,,,,
Arceuthobium_americanum,,,,,
Arceuthobium_campylopodum,,,,,
Arceuthobium_douglasii,,,,,
Arctomecon_merriamii,,,,,
Arctostaphylos_andersonii,,,,,
Arctostaphylos_auriculata,,,,,
Arctostaphylos_bakeri,,,,,
Arctostaphylos_canescens,,,,,
Arctostaphylos_catalinae,,,,,
Arctostaphylos_columbiana,,,,,
Arctostaphylos_confertiflora,,,,,
Arctostaphylos_crustacea,,,,,
Arctostaphylos_cruzensis,,,,,
Arctostaphylos_densiflora,,,,,
Arctostaphylos_edmundsii,,,,,
Arctostaphylos_franciscana,,,,,
Arctostaphylos_gabilanensis,,,,,
Arctostaphylos_glandulosa,,,,,
Arctostaphylos_glauca,,,,,
Arctostaphylos_glutinosa,,,,,
Arctostaphylos_hispidula,,,,,
Arctostaphylos_hookeri,,,,,
Arctostaphylos_hooveri,,,,,
Arctostaphylos_imbricata,,,,,
Arctostaphylos_insularis,,,,,
Arctostaphylos_klamathensis,,,,,
Arctostaphylos_luciana,,,,,
Arctostaphylos_malloryi,,,,,
Arctostaphylos_manzanita,,,,,
Arctostaphylos_mewukka,,,,,
Arctostaphylos_montana,,,,,
Arctostaphylos_montaraensis,,,,,
Arctostaphylos_montereyensis,,,,,
Arctostaphylos_morroensis,,,,,
