taxon,18S,atpB,ndhF,trnL-trnF,
Botrychium_simplex,,,,AY138427.1,
Botrychium_tunux,,,,KF700450.1,
Botrychium_yaaxudakeit,,,,KF700454.1,
Botrypus_virginianus,AF313566.1,,,KF700456.1,
Bouteloua_aristidoides,,,GU359570.1,EF156674.1,
Bouteloua_barbata,,,,,
Bouteloua_curtipendula,,EF422971.1,EF422911.1,,
Bouteloua_eriopoda,,,,,
Bouteloua_gracilis,,,HE575771.1,,
Bouteloua_trifida,,,,EF156676.1,
Bowlesia_incana,,,,,
Boykinia_rotundifolia,,AJ235417.2,,,
Boykinia_major,,,,,
Boykinia_occidentalis,,,,,
Brandegea_bigelovii,,,,DQ536790.1,
Brasenia_schreberi,AF206874.1,AF209544.1,,,
Brickellia_atractyloides,,,,,
Brickellia_californica,,,,,
Brickellia_desertorum,,,,,
Brickellia_frutescens,,,,,
Brickellia_grandiflora,,,,,
Brickellia_greenei,,,,,
Brickellia_incana,,,,,
Brickellia_knappiana,,,,,
Brickellia_longifolia,,,,,
Brickellia_microphylla,,,,,
Brickellia_nevinii,,,,,
Brickellia_oblongifolia,,,,,
Brodiaea_appendiculata,,,AF508355.1,AF508466.1,
Brodiaea_californica,JQ283923.1,JQ273635.1,JQ276812.1,,
Brodiaea_coronaria,,,,AJ311074.1,
Brodiaea_elegans,,,AF508357.1,AF508468.1,
Brodiaea_filifolia,,,AF508358.1,AF508469.1,
Brodiaea_insignis,,,,,
Brodiaea_jolonensis,,,AF508359.1,AF508470.1,
Brodiaea_kinkiensis,,,,,
Brodiaea_leptandra,,,,,
Brodiaea_minor,,,AF508360.1,AF508471.1,
Brodiaea_nana,,,,,
Brodiaea_orcuttii,,,AF508361.1,AF508472.1,
Brodiaea_pallida,,,,,
Brodiaea_rosea,,,AF508356.1,AF508467.1,
Brodiaea_santarosae,,,,,
Brodiaea_sierrae,,,,,
Brodiaea_stellaris,,,AF508362.1,AF508473.1,
Brodiaea_terrestris,,,AF508363.1,AF508474.1,
Dichelostemma_congestum,JQ283924.1,JQ273637.1,JQ276814.1,AF508477.1,
Dichelostemma_ida-maia,JQ283925.1,JQ273638.1,JQ276815.1,AF508478.1,
Dichelostemma_multiflorum,HM640755.1,JX903836.1,JX903419.1,AF508479.1,
Dichelostemma_volubile,,,AF508369.1,AF508480.1,
Bromus_arizonicus,,,,,
Bromus_carinatus,,,,AB732921.1,
Bromus_ciliatus,,,,,
Bromus_grandis,,,,,
Bromus_hallii,,,,,
Bromus_laevipes,,,,EU036185.1,
Bromus_maritimus,,,,,
Bromus_orcuttianus,,,,EU036186.1,
Bromus_polyanthus,,,,,
Bromus_porteri,,,,,
Bromus_pseudolaevipes,,,,EU036188.1,
Bromus_richardsonii,,,,,
Bromus_sitchensis,,,,,
Bromus_suksdorfii,,DQ780968.1,DQ786822.1,EU036187.1,
Bromus_vulgaris,,,,,
Buddleja_utahensis,,,,AF380856.1,
Bulbostylis_capillaris,,,,,
Bursera_microphylla,,GU246055.1,,GU246093.1,
Cacaliopsis_nardosmia,,,GU817837.1,GU817979.1,
Calamagrostis_bolanderi,,,,,
Calamagrostis_breweri,,,,DQ113943.1,
Calamagrostis_canadensis,,DQ780970.1,DQ786824.1,FJ394566.1,
Calamagrostis_foliosa,,,,,
Calamagrostis_koelerioides,,,,,
Calamagrostis_muiriana,,,,DQ113935.1,
Calamagrostis_nutkaensis,,,,,
Calamagrostis_ophitidis,,,,,
Calamagrostis_purpurascens,,,,FJ394569.1,
Calamagrostis_rubescens,,,,,
Calamagrostis_stricta,,,,,
Calandrinia_breweri,,,,,
Calandrinia_ciliata,,,AF194835.1,,
California_macrophylla,,,,DQ072015.1,
Calliandra_eriophylla,,,,,
Calliscirpus_criniger,,,GU075517.1,,
Callitriche_fassettii,,,,,
Callitriche_heterophylla,AF107582.1,AJ236164.1,L47329.1,,
Callitriche_longipedunculata,,,,,
Callitriche_marginata,,,,,
Callitriche_palustris,,,,,
Callitriche_trochlearis,,,,,
Callitropsis_nootkatensis,AB029366.1,,,AY988207.1,
Calocedrus_decurrens,D85293.1,,,HM024532.1,
Calochortus_albus,AF069204.1,,AF275994.1,AY430631.1,
Calochortus_amabilis,,,,AY430632.1,
Calochortus_amoenus,,,,AY430633.1,
Calochortus_coeruleus,,,,AY430636.1,
Calochortus_elegans,,,,AY430638.1,
Calochortus_greenei,,,,AY430640.1,
Calochortus_longebarbatus,,,,AY430642.1,
Calochortus_minimus,,,,AY430644.1,
Calochortus_monophyllus,,,,AY430645.1,
Calochortus_nudus,,,,AY430647.1,
Calochortus_persistens,,,,AY430649.1,
Calochortus_pulchellus,,,,AY430650.1,
Calochortus_raichei,,,,AY430651.1,
Calochortus_tiburonensis,,,,AY430653.1,
Calochortus_tolmiei,,,,AY430654.1,
Calochortus_umbellatus,,,,AY430655.1,
Calochortus_uniflorus,,,,AY430657.1,
Calochortus_westonii,,,,AY430658.1,
Calochortus_argillosus,,,,AY430665.1,
Calochortus_catalinae,,,,AY430677.1,
Calochortus_dunnii,,,,AY430673.1,
Calochortus_flexuosus,,,,AY430675.1,
Calochortus_luteus,,,AF275997.1,AY430679.1,
Calochortus_monanthus,,,,,
Calochortus_palmeri,,,,AY430683.1,
Calochortus_simulans,,,,,
Calochortus_splendens,,,,AY430684.1,
Calochortus_striatus,,,,,
Calochortus_superbus,,,,AY430685.1,
Calochortus_syntrophus,,,,,
Calochortus_venustus,,,,AY430686.1,
Calochortus_vestae,,,,AY430687.1,
Calochortus_bruneaunis,,,,AY430668.1,
Calochortus_clavatus,,,,AY430670.1,
Calochortus_concolor,,,,AY430671.1,
Calochortus_excavatus,,,,AY430674.1,
Calochortus_invenustus,,,,,
Calochortus_kennedyi,,,,AY430669.1,
Calochortus_leichtlinii,,,,AY430678.1,
Calochortus_macrocarpus,,,,AY430680.1,
Calochortus_panamintensis,,,,,
Calochortus_fimbriatus,,,,,
Calochortus_obispoensis,,,,AY430659.1,
Calochortus_plummerae,,,,AY430660.1,
Calochortus_weedii,,,AF275998.1,AY430663.1,
Caltha_leptosepala,,,,AY365370.1,
Calycadenia_fremontii,,,,,
Calycadenia_hooveri,,,,,
Calycadenia_micrantha,,,,,
Calycadenia_mollis,,,,,
Calycadenia_multiglandulosa,,,,,
Calycadenia_oppositifolia,,,,,
Calycadenia_pauciflora,,,,,
Calycadenia_spicata,,,,,
Calycadenia_truncata,,,,,
Calycadenia_villosa,,,,,
Osmadenia_tenella,,,,,
Calycanthus_occidentalis,DQ490922.1,,,DQ490944.1,
Calypso_bulbosa,,,,AF519961.1,
Calyptridium_monandrum,,,,,
Calyptridium_monospermum,,,,,
Calyptridium_parryi,,,,,
Calyptridium_pulchellum,,,,,
Calyptridium_pygmaeum,,,,,
Calyptridium_quadripetalum,,,,,
Calyptridium_roseum,,,,,
Calyptridium_umbellatum,,,AF194840.1,,
Calystegia_atriplicifolia,,,,,
Calystegia_collina,,,,,
Calystegia_longipes,,,,,
Calystegia_macrostegia,,AY100782.1,,AY101100.1,
Calystegia_malacophylla,,,,,
Calystegia_occidentalis,,,,,
Calystegia_peirsonii,,,,,
Calystegia_purpurata,,,,,
Calystegia_sepium,,AY100783.1,,AY101101.1,
Calystegia_soldanella,,,,,
Calystegia_stebbinsii,,,,,
Calystegia_subacaulis,,,,,
Camassia_leichtlinii,,,KP008229.1,JX090502.1,
Camassia_quamash,,,AF547001.1,AF508511.1,
Camissonia_benitensis,,,,,
Camissonia_campestris,,,,AY264538.1,
Camissonia_contorta,,,,,
Camissonia_integrifolia,,,,,
Camissonia_kernensis,,,,AY264537.1,
Camissonia_lacustris,,,,,
Camissonia_parvula,,,,,
Camissonia_pubens,,,,,
Camissonia_pusilla,,,,,
Camissonia_sierrae,,,,,
Camissonia_strigulosa,,,,,
Camissoniopsis_bistorta,,,,,
Camissoniopsis_cheiranthifolia,,,,AY264536.1,
Camissoniopsis_confusa,,,,,
Camissoniopsis_guadalupensis,,,,,
Camissoniopsis_hardhamiae,,,,,
Camissoniopsis_hirtella,,,,,
Camissoniopsis_ignota,,,,,
Camissoniopsis_intermedia,,,,,
Camissoniopsis_lewisii,,,,,
Camissoniopsis_luciae,,,,,
Camissoniopsis_micrantha,,,,,
Camissoniopsis_pallida,,,,,
Camissoniopsis_robusta,,,,,
Campanula_rotundifolia,,EU437668.1,,EF213153.1,
Campanula_scabrella,,JN571939.1,,JN572021.1,
Campanula_scouleri,,EU437678.1,,JN572022.1,
Campanula_shetleri,,,,,
Asyneuma_prenanthoides,,,,,
Campanula_angustiflora,,,,,
Campanula_californica,,,,,
Campanula_exigua,,EU437643.1,,,
Campanula_griffinii,,,,,
Campanula_sharsmithiae,,,,,
Campanula_wilkinsiana,,JN571942.1,,JN572026.1,
Githopsis_diffusa,,EU437644.1,,,
Githopsis_pulchella,,EU437647.1,,,
Githopsis_specularioides,,,,,
Githopsis_tenella,,,,,
Heterocodon_rariflorum,,EU437641.1,,JN851182.1,
Triodanis_biflora,,,,,
Triodanis_perfoliata,,EU437591.1,,,
Canbya_candida,,,,,
Cardamine_angulata,,,,FJ464545.1,
Cardamine_bellidifolia,,,AF198140.1,EU819306.1,
Cardamine_breweri,,,AF198141.1,,
Cardamine_californica,,,AF198143.1,FJ464547.1,
Cardamine_cordifolia,,,,EU819245.1,
Cardamine_nuttallii,,,,EU819267.1,
Cardamine_occidentalis,,,,EU819268.1,
Cardamine_oligosperma,,,,DQ268221.1,
Cardamine_pachystigma,,,,,
Cardamine_pensylvanica,,,,DQ268303.1,
Cardionema_ramosissimum,,,,JN589639.1,
Carex_abrupta,,,,,
Carex_albonigra,,,,,
Carex_alma,,,,,
Carex_amplifolia,,,,AY757511.1,
Carex_angustata,,,,,
Carex_aquatilis,,,KP273720.1,AY757517.1,
Carex_arcta,,,,,
Carex_atherodes,,,,,
Carex_athrostachya,,,,,
Carex_aurea,,,,DQ998954.1,
Carex_barbarae,,,,,
Carex_bolanderi,,,,,
Carex_brainerdii,,,,,
Carex_brevicaulis,,,,,
Carex_breweri,,,,,
Carex_buxbaumii,,,,EU288428.1,
Carex_californica,,,,,
Carex_canescens,,,,AY757480.1,
Carex_capitata,,,KJ513493.1,GU176109.1,
Carex_comosa,,,,AY757502.1,
Carex_concinnoides,,,,,
Carex_congdonii,,,,,
Carex_cusickii,,,,,
Carex_davyi,,,,,
Carex_deflexa,,,,,
Carex_densa,,,,,
Carex_diandra,,,,AY757473.1,
Carex_disperma,,,,AY757489.1,
Carex_douglasii,,,,,
Carex_duriuscula,,,,,
Carex_echinata,,,,AY757477.1,
Carex_exsiccata,,,,,
Carex_feta,,,,,
Carex_filifolia,,,,,
Carex_fissuricola,,,,AY757544.1,
Carex_fracta,,,,,
Carex_geyeri,,,KP273738.1,,
Carex_globosa,,,,,
Carex_gracilior,,,,,
Carex_gynodynama,,,,,
Carex_halliana,,,,,
Carex_harfordii,,,,,
Carex_hassei,,,,,
Carex_haydeniana,,,,,
Carex_helleri,,,,,
Carex_hendersonii,,,,,
Carex_heteroneura,,,,DQ998974.1,
Carex_hirtissima,,,,,
Carex_hoodii,,,,,
Carex_hystericina,,,,AY757501.1,
Carex_idahoa,,,,,
Carex_illota,,,,,
Carex_incurviformis,,,,,
Carex_infirminervia,,,,,
Carex_inops,,,,,
Carex_integra,,,,,
Carex_interior,,,,AY757476.1,
Carex_jonesii,,,,,
Carex_klamathensis,,,,,
Carex_laeviculmis,,,,,
Carex_lasiocarpa,,,,DQ998978.1,
Carex_lemmonii,,,,,
Carex_lenticularis,,,,,
Carex_leporina,,,,,
Carex_leporinella,,,,,
Carex_leptalea,,,AF163449.1,AY757559.1,
Carex_leptopoda,,,,,
Carex_limosa,,,,AY757522.1,
Carex_livida,,,,AY757556.1,
Carex_luzulifolia,,,,AY757545.1,
Carex_luzulina,,,,DQ998982.1,
Carex_lyngbyei,,,,,
Carex_mariposana,,,,,
Carex_mendocinensis,,,,AY757536.1,
Carex_mertensii,,,AF163444.1,AY757519.1,
Carex_microptera,,,,,
Carex_multicaulis,,,,,
Carex_multicostata,,,,,
Carex_nebrascensis,,,,,
Carex_nervina,,,,,
Carex_neurophora,,,,,
Carex_nigricans,,,AF163450.1,,
Carex_nudata,,,,,
Carex_obispoensis,,,,AY757547.1,
Carex_obnupta,,,,,
Carex_occidentalis,,,,,
Carex_pachycarpa,,,,,
Carex_pachystachya,,,,,
Carex_pansa,,,,,
Carex_pellita,,,,,
Carex_petasata,,,,,
Carex_phaeocephala,,,,,
Carex_praeceptorum,,,,,
Carex_praegracilis,,,,,
Carex_praticola,,,,,
Carex_preslii,,,,,
Carex_proposita,,,,,
Carex_raynoldsii,,,,,
Carex_rossii,,,,,
Carex_saliniformis,,,,,
Carex_sartwelliana,,,,,
Carex_scabriuscula,,,,,
Carex_schottii,,,,,
Carex_scirpoidea,,,AF191812.1,AY757509.1,
Carex_scoparia,,,,,
Carex_scopulorum,,,,,
Carex_senta,,,,,
Carex_serpenticola,,,,,
Carex_serratodens,,,,,
Carex_sheldonii,,,,,
Carex_simulata,,,,,
Carex_specifica,,,,JQ653159.1,
Carex_spectabilis,,,,,
Carex_spissa,,,,,
Carex_stevenii,,,,,
Carex_stipata,,,KJ513500.1,AY757471.1,
Carex_straminiformis,,,,,
Carex_subbracteata,,,,,
Carex_subfusca,,,,,
Carex_subnigricans,,,,,
Carex_tahoensis,,,,,
Carex_tiogana,,,,,
Carex_tompkinsii,,,,,
Carex_triquetra,,,,,
Carex_tumulicola,,,,,
Carex_unilateralis,,,,,
Carex_utriculata,,,,,
Carex_vallicola,,,,,
Carex_vernacula,,,,,
Carex_vesicaria,,,,,
Carex_viridula,,,,AY757524.1,
Carex_whitneyi,,,,AY757532.1,
Kobresia_myosuroides,,,KJ513529.1,AY757566.1,
Carlowrightia_arizonica,,,,,
Carnegiea_gigantea,,,,HM041236.1,
Carpenteria_californica,AJ235992.1,AJ235426.2,AF130217.1,JF321173.1,
Carsonia_sparsifolia,,,,,
Cascadia_nuttallii,,,,LM654423.1,
Cassiope_mertensiana,AF419798.1,,DQ002372.1,EF216854.1,
Castela_emoryi,,,,,
Castilleja_affinis,,,,EF103857.1,
Castilleja_applegatei,,,,EF103854.1,
Castilleja_arachnoidea,,,,EF103837.1,
Castilleja_brevilobata,,,,,
Castilleja_chromosa,,,,EF103848.1,
Castilleja_cinerea,,,,,
Castilleja_foliolosa,,,,,
Castilleja_gleasoni,,,,,
Castilleja_grisea,,,,,
Castilleja_hololeuca,,,,,
Castilleja_latifolia,,,,,
Castilleja_lemmonii,,,,EF103840.1,
Castilleja_linariifolia,,HQ384707.1,HQ384819.1,EF103866.1,
Castilleja_mendocinensis,,,,,
Castilleja_miniata,U59957.1,,,EF103861.1,
Castilleja_minor,,,,,
Castilleja_mollis,,,,,
Castilleja_montigena,,,,,
Castilleja_nana,,,,EF103836.1,
Castilleja_peirsonii,,,,EF103850.1,
Castilleja_pilosa,,,,EF103835.1,
Castilleja_plagiotoma,,,,EF103838.1,
Castilleja_praeterita,,,,EF103842.1,
Castilleja_pruinosa,,,,EF103856.1,
Castilleja_schizotricha,,,,,
Castilleja_subinclusa,,,,,
Castilleja_wightii,,,,,
Castilleja_campestris,,,,EF103824.1,
Castilleja_lacera,,,,EF103827.1,
Castilleja_lasiorhyncha,,,,EF103828.1,
Castilleja_tenuis,,,,EF103826.1,
Castilleja_exserta,,,,EF103833.1,
Castilleja_ambigua,,,,EF103830.1,
Castilleja_attenuata,,,,EF103831.1,
Castilleja_brevistyla,,,,EF103832.1,
Castilleja_densiflora,,,,EF103834.1,
Castilleja_lineariloba,,,,EF103825.1,
Castilleja_rubicundula,,,,EF103829.1,
Ceanothus_arboreus,,,,,
Ceanothus_cordulatus,,,U78894.1,HQ325601.1,
Ceanothus_cyaneus,,,,,
Ceanothus_dentatus,,,,,
Ceanothus_diversifolius,,,,,
Ceanothus_foliosus,,,,,
Ceanothus_hearstiorum,,,,,
Ceanothus_impressus,,,,,
Ceanothus_incanus,,,,,
Ceanothus_integerrimus,,,U78896.1,,
Ceanothus_lemmonii,,,,,
Ceanothus_leucodermis,,,,,
Ceanothus_oliganthus,,,,,
Ceanothus_palmeri,,,,,
Ceanothus_papillosus,,,,,
Ceanothus_parryi,,,,,
Ceanothus_parvifolius,,,,,
Ceanothus_sanguineus,U42799.1,,U78897.1,,
Ceanothus_spinosus,,,,,
Ceanothus_thyrsiflorus,,,U78898.1,,
Ceanothus_tomentosus,,,,,
Ceanothus_velutinus,,,U78899.1,,
Ceanothus_arcuatus,,,,,
Ceanothus_confusus,,,,,
Ceanothus_crassifolius,,,,,
Ceanothus_cuneatus,,,U78900.1,,
Ceanothus_divergens,,,,,
Ceanothus_ferrisiae,,,,,
Ceanothus_fresnensis,,,,,
Ceanothus_gloriosus,,,,,
Ceanothus_jepsonii,,,,,
Ceanothus_maritimus,,,,,
Ceanothus_masonii,,,,,
Ceanothus_megacarpus,,,,,
Ceanothus_ophiochilus,,,,,
Ceanothus_otayensis,,,,,
Ceanothus_perplexans,,,,,
Ceanothus_pinetorum,,,,,
Ceanothus_prostratus,,,U78901.1,,
Ceanothus_pumilus,,,U78902.1,HQ325602.1,
Ceanothus_purpureus,,,,,
Ceanothus_rigidus,,,,,
Ceanothus_roderickii,,,,,
Ceanothus_sonomensis,,,,,
Ceanothus_verrucosus,,,,,
Ceanothus_vestitus,,,,,
Celtis_reticulata,,,,,
Centromadia_fitchii,,,,,
Centromadia_parryi,,,,,
Centromadia_pungens,,,,,
Cephalanthera_austiniae,U59949.1,,,,
Cephalanthus_occidentalis,AJ236021.1,AJ236190.1,AJ236288.1,AF152692.1,
Cerastium_arvense,,,,FJ404976.1,
Cerastium_beeringianum,,,,AY521365.1,
Cerastium_viride,,,,,
Ceratophyllum_demersum,U42517.1,D89552.1,AF130232.1,,
Cercis_occidentalis,,,AF390199.1,FJ801156.1,
Cercocarpus_betuloides,DQ886364.1,,,AF348537.1,
Cercocarpus_ledifolius,,,,,
Cercocarpus_minutiflorus,,,,,
Cercocarpus_traskiae,,,,,
Chaenactis_alpigena,,,,,
Chaenactis_artemisiifolia,,,,,
Chaenactis_carphoclinia,,,,,
Chaenactis_douglasii,,,GU817842.1,GU817985.1,
Chaenactis_fremontii,,,,,
Chaenactis_glabriuscula,,,,,
Chaenactis_macrantha,,,,,
Chaenactis_nevadensis,,,,,
Chaenactis_parishii,,,,,
Chaenactis_santolinoides,,,,AY216150.1,
Chaenactis_stevioides,,,,,
Chaenactis_suffrutescens,,,,,
Chaenactis_xantiana,,,,,
Chaetadelpha_wheeleri,,,,,
Chaetopappa_ericoides,,,,,
Chamaebatia_australis,,,,,
Chamaebatia_foliolosa,DQ886365.1,,,AF348538.1,
Chamaebatiaria_millefolium,DQ886366.1,,,AF348539.1,
Chamaecyparis_lawsoniana,,,,HM024535.1,
Chamaesaracha_coronopus,,,EU580871.1,EU580978.1,
Chamaesaracha_nana,,,,,
Chamerion_angustifolium,AF206907.1,AF209582.1,AF495784.1,AY264505.1,
Chamerion_latifolium,,,,,
Cheilanthes_clevelandii,,,,,
Cheilanthes_cooperae,,,,,
Cheilanthes_covillei,,KC984444.1,,DQ914221.1,
Cheilanthes_feei,,,,DQ914224.1,
Cheilanthes_gracillima,,,,DQ914226.1,
Cheilanthes_intertexta,,,,,
Cheilanthes_newberryi,,FJ870827.1,,EU831188.1,
Cheilanthes_parryi,,,,DQ914230.1,
Cheilanthes_viscida,,,,,
Cheilanthes_wootonii,,FJ870830.1,,,
Chenopodium_californicum,,,,HE577516.1,
Chenopodium_capitatum,,,,HE577513.1,
Monolepis_nuttalliana,,,HM630055.1,HE577515.1,
Monolepis_spathulata,,,,,
Chenopodium_glaucum,,,,HE577527.1,
Chenopodium_rubrum,AM263441.1,,,HE577525.1,
Micromonolepis_pusilla,,,,,
Chenopodium_atrovirens,,,,HE577584.1,
Chenopodium_berlandieri,,,,HE577569.1,
Chenopodium_desiccatum,,,,HE577550.1,
Chenopodium_fremontii,,,,HE577572.1,
Chenopodium_hians,,,,HE577610.1,
Chenopodium_incanum,,,,HE577548.1,
Chenopodium_leptophyllum,,,,HE577566.1,
Chenopodium_littoreum,,,,,
Chenopodium_nevadense,,,,HE577549.1,
Chenopodium_pratericola,,,,HE577562.1,
Chenopodium_simplex,,,,,
Chenopodium_watsonii,,,,HE577602.1,
Chilopsis_linearis,,,FJ887856.1,FJ870024.1,
Chimaphila_menziesii,,,,FJ357282.1,
Chimaphila_umbellata,,AF420964.1,,FJ357285.1,
Chloracantha_spinosa,,,,GU480726.1,
Chlorogalum_parviflorum,,,KP008256.1,KP008183.1,
Chlorogalum_purpureum,,,KP008264.1,KP008192.1,
Chlorogalum_angustifolium,,,KP008253.1,KP008180.1,
Chlorogalum_grandiflorum,,,KP008254.1,KP008182.1,
Chlorogalum_pomeridianum,,AJ417569.1,AY225049.1,JX090503.1,
Chloropyron_maritimum,,,,EF103868.1,
Chloropyron_molle,,,,EF103869.1,
Chloropyron_palmatum,,,,EF103870.1,
Chloropyron_tecopense,,,,EF103871.1,
Chrysolepis_chrysophylla,,,FJ185077.1,KF418961.1,
Chrysolepis_sempervirens,AF206886.1,AF209563.1,,,
Chrysosplenium_glechomifolium,,,,,
Acamptopappus_shockleyi,,,,,
Acamptopappus_sphaerocephalus,,,,,
Amphipappus_fremontii,,,,,
Chrysothamnus_depressus,,,,,
Chrysothamnus_greenei,,,,,
Chrysothamnus_humilis,,,,,
Chrysothamnus_viscidiflorus,,,,,
Eastwoodia_elegans,,,,,
Nestotus_stenophyllus,,,,,
Petradoria_pumila,,,,,
Solidago_confinis,,,,,
Solidago_elongata,,,,,
Solidago_guiradonis,,,,,
Solidago_lepida,,,,,
Solidago_multiradiata,,,,HQ142472.1,
Solidago_spathulata,,,,,
Solidago_spectabilis,,,,,
Solidago_velutina,,,,HQ142486.1,
Stenotus_acaulis,,,,,
Stenotus_lanuginosus,,,,,
Tonestus_eximius,,,,,
Tonestus_lyallii,,,,,
Tonestus_peirsonii,,,,,
Chylismia_arenaria,,,AF495795.1,AY264531.1,
Chylismia_brevipes,,,,,
Chylismia_cardiophylla,,,,,
Chylismia_claviformis,,,,AY264529.1,
Chylismia_heterochroma,,,,,
Chylismia_munzii,,,,,
Chylismia_walkeri,,,,,
Chylismiella_pterosperma,,,,AY264542.1,
Cicendia_quadrangularis,,,,AY251765.1,
Cicuta_douglasii,,,,,
Cicuta_maculata,,,,,
Cinna_bolanderi,,,,,
Cinna_latifolia,,,,DQ631432.1,
Circaea_alpina,,,AF495780.1,GQ232690.1,
Cirsium_andersonii,,,,KC969580.1,
Cirsium_andrewsii,,,,KC969581.1,
Cirsium_arizonicum,,,,KC969582.1,
Cirsium_brevistylum,,,,KC969586.1,
Cirsium_ciliolatum,,,,KC969588.1,
Cirsium_crassicaule,,,,KC969589.1,
Cirsium_cymosum,,,,KC969590.1,
Cirsium_douglasii,,,,KC969591.1,
Cirsium_fontinale,,,,KC969593.1,
Cirsium_hydrophilum,,,,KC969594.1,
Cirsium_inamoenum,,,,KC969595.1,
Cirsium_mohavense,,,,KC969596.1,
Cirsium_neomexicanum,,,,KC969598.1,
Cirsium_occidentale,,,,KC969599.1,
Cirsium_praeteriens,,,,,
Cirsium_quercetorum,,,,KC969601.1,
Cirsium_remotifolium,,,,KC969602.1,
Cirsium_rhothophilum,,,,KC969603.1,
Cirsium_scariosum,,,KC589954.1,KC969605.1,
Cirsium_undulatum,,,,,
Cistanthe_ambigua,,,,,
Cistanthe_maritima,,,,,
Cladium_californicum,,,AY129249.1,AF285072.1,
Clarkia_breweri,,,,,
Clarkia_concinna,,,,AY264519.1,
Clarkia_bottae,,,,AY264521.1,
Clarkia_jolonensis,,,,,
Clarkia_australis,,,,,
Clarkia_borealis,,,,,
Clarkia_mildrediae,,,,AY264516.1,
Clarkia_mosquinii,,,,,
Clarkia_rhomboidea,,,,,
Clarkia_stellata,,,,,
Clarkia_virgata,,,,,
Clarkia_amoena,,,,,
Clarkia_arcuata,,,,,
Clarkia_franciscana,,,,AY264517.1,
Clarkia_gracilis,,,,,
Clarkia_lassenensis,,,,,
Clarkia_rubicunda,,,,,
Clarkia_affinis,,,,AY264524.1,
Clarkia_biloba,,,,,
Clarkia_cylindrica,,,,,
Clarkia_davyi,,,,,
Clarkia_delicata,,,,AY264525.1,
Clarkia_dudleyana,,,,,
Clarkia_epilobioides,,,,,
Clarkia_exilis,,,,,
Clarkia_heterandra,,,,AY264526.1,
Clarkia_imbricata,,,,AY264520.1,
Clarkia_lewisii,,,,,
Clarkia_lingulata,,,,,
Clarkia_modesta,,,,,
Clarkia_prostrata,,,,,
Clarkia_purpurea,,,,,
Clarkia_rostrata,,,,,
Clarkia_similis,,,,,
Clarkia_speciosa,,,,,
Clarkia_springvillensis,,,,,
Clarkia_tembloriensis,,,,,
Clarkia_unguiculata,,,,,
Clarkia_williamsonii,,,,,
Clarkia_xantiana,U67930.1,AF209564.1,,AY264522.1,
Claytonia_cordifolia,,,,,
Claytonia_exigua,,,JX456309.1,,
Claytonia_gypsophiloides,,,,,
Claytonia_lanceolata,,,JX456312.1,,
Claytonia_megarhiza,,GQ497650.1,JX456334.1,,
Claytonia_nevadensis,,,,,
Claytonia_palustris,,,,,
Claytonia_parviflora,,,,,
Claytonia_perfoliata,GQ497578.1,,AF194831.1,,
Claytonia_rubra,,,,,
Claytonia_saxosa,,,,,
Claytonia_sibirica,,,JX456310.1,,
Claytonia_umbellata,,,,,
Claytonia_washingtoniana,,,,,
Clematis_lasiantha,,,,,
Clematis_ligusticifolia,,,,,
Clematis_pauciflora,,,,,
Cleomella_brevipes,,,,,
Cleomella_obtusifolia,,,EU373715.1,,
Cleomella_parviflora,,,,,
Cleomella_plocasperma,,,,,
Oxystylis_lutea,,,AY122390.1,,
Wislizenia_refracta,,,AY122391.1,,
Clinopodium_chandleri,,,,,
Clinopodium_douglasii,,,,GU381592.1,
Clinopodium_mimuloides,,,,,
Clintonia_andrewsiana,,,,,
Clintonia_uniflora,,,,,
Cneoridium_dumosum,,,,EF489256.1,
Cochlearia_groenlandica,,,,,
Coleogyne_ramosissima,,,,,
Collinsia_antonina,,,,,
Collinsia_bartsiifolia,,,,,
Collinsia_callosa,,,,,
Collinsia_childii,,,,,
Collinsia_concolor,,,,,
Collinsia_corymbosa,,,,,
Collinsia_grandiflora,,,AF188182.1,,
Collinsia_greenei,,,,,
Collinsia_heterophylla,,,,,
Collinsia_linearis,,,,,
Collinsia_multicolor,,,,,
Collinsia_parryi,,,,,
Collinsia_parviflora,,,,,
Collinsia_rattanii,,,,,
Collinsia_sparsiflora,,,,,
Collinsia_tinctoria,,,,,
Collinsia_torreyi,,,,,
Collomia_diversifolia,,,,HQ117064.1,
Collomia_heterophylla,,,,HQ407484.1,
Collomia_tinctoria,,,,HQ117080.1,
Collomia_tracyi,,,,HQ117081.1,
Collomia_grandiflora,,,,HQ911976.1,
Collomia_larsenii,,,,HQ117068.1,
Collomia_linearis,,,AF207969.1,HQ911977.1,
Collomia_rawsoniana,,,,HQ117077.1,
Collomia_tenella,,,,DQ196949.1,
Colubrina_californica,,,,,
Comandra_umbellata,DQ329170.1,,,,
Comarostaphylis_diversifolia,,,,,
Comarum_palustre,,,,AJ512237.1,
Comastoma_tenellum,,,,AJ580518.1,
Condalia_globosa,,,,,
Condea_emoryi,,,,,
Conioselinum_pacificum,,,,,
Constancea_nevinii,,,AF384721.3,AY216172.1,
Convolvulus_simulans,,,,,
Coptis_laciniata,,,,AB163739.1,
Corallorhiza_striata,,,,,
Corallorhiza_maculata,U59940.1,,,,
Corallorhiza_mertensiana,,,,,
Corallorhiza_trifida,,,,KF514745.1,
Cordylanthus_capitatus,,,,EF103877.1,
