taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Plantago	3940	0.75	0.74	0.0	0.83	0.83	0.79	0.8	0.73	0.53	0.67	0.67	0.94	0.4	0.97	0.63	0.69	0.8	0.86	0.0	0.6	0.63	0.66	0.7	0.6	0.8	0.0	1.0	0.51	0.62	1.0	0.85	0.25	0.0	0.0	0.99	0.63	0.62	0.92	0.9	0.69	0.88	0.62	0.58	0.72	0.54	0.0	0.63	0.69	0.0	0.73	0.53	0.38	0.44	0.77	0.79	0.0	0.47	0.75	0.17	0.84	0.62	0.78	0.0	0.0
Enceliopsis	139	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Camassia	158	0.49	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.33	0.31	1.0	0.0	0.52	0.0	0.0	0.0	0.0	0.57	0.33	0.0	1.0	0.86	0.5	0.31	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.67	0.0	0.0	0.5	0.0	0.0	1.0	0.18	0.57	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Pteridium	305	0.53	1.0	0.5	1.0	0.25	1.0	0.0	0.75	0.0	0.14	0.27	1.0	0.5	0.0	0.4	0.3	1.0	1.0	1.0	0.94	0.0	0.5	0.5	0.42	0.0	0.0	0.0	0.54	0.33	0.0	0.67	1.0	0.57	0.0	1.0	0.0	0.0	0.68	0.88	0.47	0.0	0.56	0.33	0.56	0.33	0.0	1.0	0.0	0.0	0.2	1.0	0.44	0.0	0.0	0.0	0.5	0.5	0.0	0.0	1.0	0.0	0.5	0.0	0.0
Pseudotrillium	80	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lupinus_petioled	22231	0.7	0.69	0.5	0.75	0.79	0.72	0.84	0.62	0.44	0.72	0.52	0.73	0.57	0.93	0.65	0.7	0.79	0.83	0.73	0.72	0.51	0.77	0.51	0.53	0.66	0.55	0.6	0.59	0.72	0.63	0.8	0.8	0.7	0.0	0.97	0.68	0.65	0.88	0.86	0.67	0.72	0.56	0.57	0.7	0.62	0.0	0.84	0.51	0.57	0.45	0.59	0.64	0.78	0.82	0.67	0.55	0.54	0.59	0.06	0.76	0.53	0.7	0.0	0.1
Trillium_1	439	0.49	0.8	0.0	0.0	0.0	0.0	0.0	0.5	0.34	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.54	0.0	0.0	0.0	0.33	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.78	0.0	0.0	0.35	0.0	0.45	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hoffmannseggia	645	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86	0.92	1.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.97	0.0	0.0	1.0	0.8	0.0	0.0	0.8	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0
Nitrophila	363	0.72	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.74	0.77	0.0	0.0	0.5	0.76	0.5	0.0	0.0	0.0	0.33	1.0	0.57	0.0	0.0	0.0	0.71	0.0	0.0	0.0	1.0	0.0	0.0	0.81	0.8	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.67	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Horsfordia	117	0.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
