taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba	county	unknown
Trifolium_productum	320	0.54	0.0	0.25	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.25	0.0	0.0	0.53	0.0	0.68	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.52	0.23	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.31	0.25	0.0	0.0	0.0	0.0	0.0
Cryptantha_recurvata	99	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Primula_clevelandii	1224	0.64	0.39	0.0	1.0	0.9	0.0	1.0	0.76	0.0	0.67	0.67	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.4	0.0	1.0	0.0	0.81	0.0	0.0	0.54	0.0	0.0	0.62	0.67	0.0	0.0	0.98	0.5	0.47	0.75	0.86	1.0	1.0	0.54	0.89	0.47	0.59	0.0	0.89	1.0	0.0	0.0	0.8	0.0	0.67	0.5	0.56	0.0	0.38	0.75	0.0	0.73	0.5	1.0	0.0	0.0
Pleurocoronis_pluriseta	622	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	0.99	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.67
Symphyotrichum_bracteolatum	449	0.55	0.0	0.54	0.75	1.0	0.67	0.0	0.0	0.5	0.32	0.91	0.0	0.64	0.0	0.59	0.43	1.0	1.0	0.67	1.0	1.0	0.0	0.38	0.0	0.0	0.44	0.47	0.0	0.0	0.5	0.0	0.81	0.65	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.37	0.0	0.0	0.0	0.0	0.8	0.62	0.41	0.33	0.0	0.0	0.0	0.0	0.0	0.0
Carex_feta	416	0.57	0.0	0.0	0.83	0.81	0.75	1.0	0.0	0.25	0.75	0.57	0.0	0.23	0.0	0.0	0.5	0.0	0.71	1.0	0.0	0.6	0.2	0.48	0.36	0.0	1.0	0.0	0.0	0.11	0.07	0.0	1.0	0.75	0.0	1.0	1.0	0.0	0.93	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.63	0.0	0.65	0.0	0.0	0.67	0.53	0.6	0.39	0.0	0.0	0.0	0.75	0.0	0.0
Mimulus_montioides	314	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.66	0.57	0.0	0.0	0.0	0.0	0.67	0.0	0.33	0.0	0.0	0.0	0.33	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.58	0.38	0.0	0.0	0.0	0.0	0.0	0.0
Downingia_laeta	29	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Melica_bulbosa	310	0.91	0.0	0.93	1.0	1.0	0.0	0.0	0.5	1.0	1.0	0.93	1.0	0.86	0.0	0.8	1.0	0.0	1.0	0.86	0.0	0.78	1.0	1.0	0.0	0.0	0.75	0.9	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.67	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.93	0.91	0.0	0.0	1.0	0.0	0.0	0.0
Woodsia_scopulina	234	0.46	0.0	0.0	0.0	0.75	1.0	0.0	0.0	0.0	0.67	0.52	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.13	0.0	0.0	1.0	0.37	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.5	0.13	0.0	0.0	0.0	0.0	0.0	1.0	0.32	0.29	0.0	0.0	0.0	0.0	0.0	0.0
Micropus_amphibolus	82	0.73	0.88	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.5	0.0	0.8	0.0	0.0	0.0	1.0	0.54	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Festuca_rubra	688	0.94	1.0	1.0	1.0	1.0	0.0	1.0	0.94	1.0	1.0	1.0	0.0	0.99	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.97	1.0	0.9	0.0	1.0	0.91	1.0	1.0	1.0	1.0	0.95	0.96	0.0	0.0	1.0	0.0	1.0	1.0	0.76	0.0	0.65	0.67	1.0	0.67	0.0	0.93	0.8	0.0	0.91	0.0	0.95	0.0	0.0	1.0	1.0	0.67	1.0	0.25	1.0	1.0	0.0	0.0	0.0
Penstemon_rattanii	35	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hypericum_anagalloides	885	0.51	0.0	0.25	0.5	0.68	0.56	0.0	0.0	0.46	0.54	0.38	0.0	0.43	0.0	0.5	0.22	0.0	0.41	0.25	0.67	0.58	0.42	0.61	0.36	0.33	0.77	0.43	0.56	0.6	0.1	0.0	0.62	0.63	0.0	0.96	1.0	0.0	0.73	0.75	0.5	0.0	0.75	0.25	0.75	0.5	0.0	0.63	0.4	0.29	0.4	0.0	0.15	0.0	0.0	0.76	0.38	0.35	0.38	0.0	0.0	0.0	1.0	0.0	0.0
