Sanicula hoffmannii,71984
Torilis arvensis,79184
Torilis nodosa,40891
Yabea microcarpa,79195
Asclepias fascicularis,397857
Funastrum cynanchoides var. hartwegii,not found
Vinca major,185238
Achillea millefolium,13329
Achyrachaena mollis,149405
Acourtia microcephala,40565
Agoseris apargioides var. apargioides,not found
Agoseris grandiflora,161745
Agoseris heterophylla,19017
Amblyopappus pusillus,149407
Ambrosia acanthicarpa,not found
Ambrosia chamissonis,not found
Ambrosia psilostachya,29715
Anthemis cotula,158220
Arctium minus,143172
Argyranthemum frutescens,99032
Artemisia californica,86309
Artemisia douglasiana,1227621
Artemisia dracunculus,72341
Artemisia nesiotica,480632
Baccharis glutinosa,not found
Baccharis pilularis,not found
Baccharis plummerae ssp. plummerae,not found
Baccharis salicifolia,427666
Baccharis salicina,not found
Baccharis sarothroides,not found
Bahiopsis laciniata,191145
Blennosperma nanum var. nanum,not found
Brickellia californica,176615
Calendula officinalis,41496
Carduus pycnocephalus,143180
Centaurea benedicta,50282
Centaurea melitensis,41536
Centaurea solstitialis,347529
Centromadia fitchii,not found
Centromadia pungens,170370
Chaenactis glabriuscula var. lanosa,not found
Cichorium intybus,13427
Cirsium brevistylum,196706
Cirsium occidentale var. californicum,not found
Cirsium occidentale var. coulteri,not found
Cirsium occidentale var. occidentale,not found
Cirsium occidentale var. venustum,196733
Cirsium ochrocentrum,1407822
Cirsium undulatum,1234499
Cirsium vulgare,92907
Constancea nevinii,149418
Corethrogyne filaginifolia,71062
Cotula australis,457712
Cotula coronopifolia,174445
Crepis setosa,268029
Cynara cardunculus,4265
Deinandra clementina,425862
Deinandra fasciculata,149420
Deinandra increscens ssp. increscens,427075
Delairea odorata,18795
Encelia californica,183026
Ericameria ericoides,71043
Ericameria palmeri var. pachylepis,not found
Erigeron bonariensis,91242
Erigeron canadensis,72917
Erigeron foliosus var. foliosus,not found
Erigeron glaucus,91270
Erigeron sanctarum,not found
Eriophyllum confertiflorum var. confertiflorum,not found
