Aeschynanthus,45165
Aeschynomene,48134
Aesculus,43363
Aetanthus,529554
Aetheolaena,not found
Aetheolirion,not found
Aetheorhiza,43187
Aetheorhyncha,310107
Aethephyllum,215948
Aethionema,72656
Aethusa,40953
Aetoxylon,not found
Aextoxicon,39127
Affonsea,not found
Afgekia,132427
Afraegle,231459
Aframmi,not found
Aframomum,188478
Afraurantium,not found
Afrobrunnichia,559219
Afrocalathea,210035
Afrocanthium,258728
Afrocarpus,120582
Afrofittonia,not found
Afroguatteria,not found
Afrolicania,1272965
Afroligusticum,386059
Afrolimon,169269
Afropteris,170706
Afrosciadium,not found
Afrosison,not found
Afrostyrax,85714
Afrothismia,396643
Afrotrewia,418450
Afrotrichloris,1662278
Afrotrilepis,796820
Afrotysonia,1452892
Afrovivella,not found
Afzelia,162640
Agalinis,46034
Agalmyla,48777
Aganisia,310109
Aganonerion,1211848
Aganope,167606
Aganosma,184381
Agapanthus,51426
Agapetes,57517
Agarista,1368164
Agastache,39130
Agastachys,83692
Agasthiyamalaia,not found
Agasyllis,not found
Agatea,459886
Agathelpis,133306
Agathis,79214
Agathisanthemum,58371
Agathophora,996496
Agathosma,378919
Agauria,not found
Agave,39509
Agdestis,115619
Agelaea,210337
Agelanthus,48922
Agenium,not found
Ageratella,not found
Ageratina,102749
Ageratinastrum,not found
Ageratum,55598
Agianthus,not found
Aglaia,201006
Aglaodorum,293510
Aglaomorpha,1426892
Aglaonema,174181
Aglossorrhyncha,not found
Agnesia,not found
Agnorhiza,637409
Agonandra,50110
Agonis,106025
Agoseris,19016
Agouticarpa,1570985
Agrianthus,1744991
Agrimonia,23137
Agriophyllum,240018
Agrocharis,79153
Agroelymus,not found
Agrohordeum,not found
Agropogon,not found
Agropyron,4592
Agropyropsis,not found
Agrositanion,not found
Agrostemma,39847
Agrostis,15297
Agrostistachys,212273
Agrostocrinum,232744
Agrostophyllum,163261
Agrostopoa,not found
Agrotrigia,not found
Aguiaria,not found
Ahernia,312353
Aichryson,35959
Aidia,58505
Aidiopsis,not found
Ailanthus,23809
Ainsliaea,41469
Ainsworthia,489407
Aiouea,128583
Aiphanes,131248
Aira,281065
Airampoa,not found
Airopsis,388688
Airosperma,499972
Airyantha,149622
Aistopetalum,not found
Aizoanthemum,215923
Aizoon,215925
Ajania,99023
Ajaniopsis,not found
Ajuga,38595
Ajugoides,1006593
Akania,19374
Akeassia,not found
Akebia,13330
Akrosida,not found
Akschindlium,not found
Alafia,429524
Alamania,123100
Alangium,16896
Alania,66714
Alansmia,1185716
Alantsilodendron,148665
Alatiliparis,not found
Alatoseta,not found
Alberta,73950
Albertinia,434620
Albertisia,432624
Albidella,430085
Albizia,3812
Alboviodoxa,not found
Albraunia,299785
Albuca,51428
Alcantarea,106428
Alcea,65556
Alchemilla,23138
Alchornea,212275
Alchorneopsis,316666
Alcicornium,not found
Aldama,1048900
Aldina,53823
Aldrovanda,173385
Alectra,46038
Alectryon,151045
Aleisanthia,128262
Aleisanthiopsis,128264
Alepidea,358184
Alepidocline,183000
Alepis,50112
Aletes,54698
Aletris,119987
Aleurites,123497
Aleuritopteris,377223
Alexa,149625
Alexfloydia,798262
Alexgeorgea,98875
Alfaroa,60416
Alfredia,143170
Algaria,not found
Algernonia,not found
Algrizea,375206
Alhagi,47036
Alibertia,58507
Alicia,1561394
Aliciella,73235
Alicularia,not found
Aliella,943680
Aligrimmia,not found
Alinula,130491
Aliopsis,not found
Alisma,14999
Alismorchis,not found
Alistilus,553663
Alkanna,475881
Allagopappus,56512
Allagoptera,115438
Allamanda,52817
Allanblackia,469913
Allantodia,208729
Allantoma,79554
Allantospermum,1849173
Allardia,457707
Alleizettella,not found
Alleniella,1003844
Allenrolfea,224138
Allexis,317447
Alliaria,126269
Allionia,107612
Allioniella,not found
Allioniellopsis,not found
Allisoniella,984527
Allittia,1785084
Allium,4678
Allmania,not found
Allmaniopsis,327028
Allocassine,353121
Allocasuarina,19926
Allocheilos,1032910
Allochrusa,325477
Alloeochaete,not found
Alloispermum,183002
Allolepis,433841
Allomaieta,1170322
Allomarkgrafia,274649
Allomorphia,not found
Alloneuron,1170330
Allophyllum,40739
Allophylus,201004
Alloplectus,48754
Allopterigeron,1231638
Allorgea,not found
Allorgella,1759644
Allosanthus,not found
Alloschemone,258257
Allosidastrum,108443
Allosorus,not found
Allostelites,not found
Allostigma,1032912
Allosyncarpia,22527
Alloteropsis,416176
Allotropa,162313
Allowissadula,108439
Allowoodsonia,not found
Alloxylon,83844
Alluaudia,323347
Alluaudiopsis,86291
Almaleea,114339
Almeidea,1654677
Almutaster,481906
Alniphyllum,167980
Alnus,3515
Alobiella,not found
Alobiellopsis,984518
Alocasia,4455
Alococarpum,325707
Aloe,25641
Aloina,200689
Aloinella,324298
Aloinopsis,1352112
Alomia,1744996
Alomiella,not found
Alonsoa,68859
Alopecurus,15303
Alophia,58939
Alophosia,111650
Aloysia,105887
Alphandia,not found
Alphitonia,106657
Alphonsea,235709
Alpinia,866084
Alrawia,480460
Alseis,86982
Alseodaphne,128587
Alseuosmia,49582
Alsia,324262
Alsinidendron,not found
Alsodeiopsis,159377
Alsomitra,386129
Alsophila,104485
Alstonia,52821
Alstroemeria,56741
Altamiranoa,not found
Altensteinia,78695
Alternanthera,169520
Althaea,145744
Althenia,1455555
Altingia,45168
Altoparadisium,158084
Aluta,not found
Alvaradoa,85160
Alvesia,204102
Alvimia,104000
Alvimiantha,not found
Alvordia,683989
Alyogyne,183222
Alysicarpus,287749
Alyssoides,457760
Alyssopsis,586511
Alyssum,169067
Alyxia,141527
Alzatea,39981
Amaioua,136668
Amalia,not found
Amalocalyx,429507
Amalophyllon,679638
Amana,552639
Amanoa,300943
Amaracarpus,88291
Amaranthus,3564
Amaroria,43720
Amaryllis,51431
Amasonia,245555
Amauria,160429
Amauriopsis,176513
Amauropelta,173865
Amazoopsis,989907
Ambassa,not found
Ambavia,224844
Ambelania,403086
Amberboa,41471
Ambilobea,613113
Amblovenatum,1729497
Amblyanthopsis,not found
Amblyanthus,not found
Amblygonocarpus,148668
Amblynotus,1212515
Amblyocarpum,313951
Amblyodon,67243
Amblyodum,not found
Amblyolepis,128711
Amblyopappus,149406
Amblysperma,1542327
Amblystegiella,not found
Amblystegium,99399
Amblytropis,324290
Ambongia,not found
Amborella,13332
Amboroa,not found
Ambrella,not found
Ambrosia,4211
Ambrosina,267626
Ambuchanania,128813
Amburana,149627
Ameghinoa,460317
Amelanchier,23139
Amelasorbus,not found
Amellus,72893
Amentotaxus,25624
Amerimnon,not found
Ameroglossum,not found
Amerosedum,not found
Amesia,not found
Amesiella,312806
Amesiodendron,556928
Amethystea,201505
Amherstia,162645
Amianthium,164817
Amicia,105933
Amischotolype,168051
Amitostigma,160523
Ammandra,131250
Ammannia,162021
Ammi,48025
Ammobium,125647
Ammocalamagrostis,not found
Ammocharis,180131
Ammochloa,388690
Ammodaucus,79157
Ammodendron,247903
Ammoides,386050
Ammophila,95188
Ammopiptanthus,111850
Ammoselinum,not found
Ammosperma,663962
Amolinia,not found
Amomum,188482
Amomyrtella,not found
Amomyrtus,375208
Amoreuxia,69455
Amoria,1069868
Amorimia,1026990
Amorpha,522886
Amorphophallus,74663
Ampelamus,not found
Ampelaster,481908
Ampelocalamus,146639
Ampelocera,63063
Ampelocissus,125009
Ampelodesmos,65999
Ampelopsis,125007
Ampelopteris,1132526
Ampelosicyos,386638
Ampelosycios,386638
Ampelozizyphus,106659
Amperea,316661
Amphiachyris,199494
Amphiasma,60349
Amphiblemma,119868
Amphibolia,188811
Amphibolis,55437
Amphibologyne,not found
Amphicarpaea,45678
Amphicarpum,1056841
Amphicephalozia,not found
Amphicosmia,1809536
Amphidasya,61922
Amphidium,61521
Amphidoxa,not found
Amphiglossa,378860
Amphijubula,not found
Amphilejeunea,not found
Amphilophium,353918
Amphilophocolea,903991
Amphimas,553500
Amphineurion,792595
Amphineuron,1729497
Amphinomia,484394
Amphiolanthus,not found
Amphipappus,217568
Amphipetalum,not found
Amphiphyllum,142424
Amphipogon,1690405
Amphipterum,not found
Amphipterygium,124856
Amphirrhox,212262
Amphiscirpus,140877
Amphistemon,884207
Amphitecna,83932
Amphithalea,140895
Amphoricarpos,313508
Amphoridium,not found
Amphoritheca,not found
Amphorocalyx,1160518
Amphorogyne,463654
Amphymenium,not found
Amsinckia,255583
Amsonia,141529
Amydrium,174219
Amyema,70876
Amylotheca,364657
Amyrea,316630
Amyris,1465210
Amyxa,not found
Anabasis,264973
Anacalypta,not found
Anacampseros,107583
Anacamptiplatanthera,not found
Anacamptis,59315
Anacamptodon,94512
Anacamptorchis,not found
Anacantha,not found
Anacaona,386131
Anacardium,171928
Anacolia,188168
Anacolosa,397372
Anacyclus,99025
Anadelphia,1699086
Anadenanthera,148670
Anadendrum,258261
Anaectocalyx,263208
Anagallis,4336
Anagyris,49792
Anakasia,not found
Anamaria,not found
Anamirta,432626
Ananas,4614
Anangia,515850
Ananthacorus,38539
Anapalina,not found
Anapausia,859219
Anapeltis,not found
Anaphalioides,90773
Anaphalis,49044
Anaphyllopsis,174206
Anaphyllum,1041943
Anarrhinum,105585
Anarthria,98871
Anarthrophyllum,247920
Anarthropteris,not found
