taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Forestiera	496	0.77	0.57	0.0	0.0	0.0	0.0	1.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.67	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.53	1.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.33	0.85	0.0	0.0	0.33	0.45	0.0	0.67	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0
Phalaris	1014	0.88	0.8	1.0	0.5	1.0	1.0	1.0	0.77	0.75	1.0	0.67	1.0	0.95	0.0	1.0	1.0	0.0	0.88	1.0	0.95	0.73	0.9	1.0	0.97	0.54	0.89	1.0	0.95	1.0	1.0	1.0	0.89	1.0	0.0	1.0	1.0	1.0	1.0	0.9	0.83	1.0	0.68	0.9	0.9	0.67	0.0	0.95	0.67	1.0	0.56	0.97	0.9	0.86	1.0	1.0	1.0	0.82	1.0	0.11	0.95	1.0	1.0
Eriophorum	96	0.89	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.75	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0
Cochlearia	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leptosiphon	9055	0.7	0.73	0.49	0.67	0.87	0.74	0.67	0.67	0.44	0.7	0.63	0.9	0.4	1.0	0.64	0.7	0.75	0.89	0.87	0.64	0.6	0.77	0.51	0.68	0.85	0.67	0.61	0.51	0.63	0.72	0.82	0.9	0.61	0.0	0.93	0.7	0.7	0.85	0.85	0.8	1.0	0.57	0.68	0.76	0.64	0.0	0.86	0.51	0.54	0.53	0.65	0.71	0.7	0.67	0.76	0.55	0.55	0.68	0.05	0.72	0.72	0.45
Dithyrea	895	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.31	0.7	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.0	0.0	0.86	0.73	0.0	0.0	0.84	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.97	0.0	0.0
Lindernia	169	0.78	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.33	0.63	1.0	0.0	0.0	0.0	0.56	1.0	1.0	0.0	0.0	1.0	0.0	0.8	0.0	0.4	0.0	0.0	0.0	0.0	1.0	0.33	0.67	0.71	0.0	0.0	0.75	0.0	0.0	1.0	0.0	0.82	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.67	0.0	0.0	0.67	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0
Jensia	330	0.55	0.0	0.0	0.18	0.71	0.48	0.0	0.0	0.0	0.43	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.79	0.0	0.0	0.0	0.4
Chamaecyparis	300	0.85	0.5	0.0	0.0	1.0	0.0	0.0	0.0	0.95	1.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	1.0	0.0
Comarum	98	0.57	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.22	0.55	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.43	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
