taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Luzula	2235	0.67	0.44	0.82	1.0	0.82	0.69	0.0	0.56	0.56	0.71	0.76	1.0	0.43	0.0	0.84	0.45	0.0	0.67	0.57	0.85	0.63	0.63	0.69	0.37	0.0	0.8	0.82	0.46	0.67	0.65	0.0	0.77	0.7	0.0	0.96	0.5	0.0	0.86	0.85	0.34	0.0	0.43	0.56	0.72	0.31	0.0	0.86	0.84	0.88	0.48	1.0	0.31	0.0	0.0	0.6	0.58	0.7	0.75	0.0	0.0	0.0	0.75
Pedicularis	2682	0.63	0.67	0.32	0.5	0.93	0.67	0.73	0.68	0.14	0.55	0.66	0.89	0.33	0.0	0.78	0.71	0.0	0.82	0.76	0.65	0.7	0.45	0.62	0.44	0.0	0.57	0.64	0.47	0.48	0.77	0.6	0.71	0.7	0.0	0.91	0.0	0.6	0.78	0.85	0.0	0.0	0.45	0.47	0.55	0.43	0.0	0.67	0.66	0.62	0.66	0.77	0.74	1.0	0.0	0.7	0.64	0.63	0.57	0.13	0.51	0.67	0.4
Ephedra_1	1380	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.93	0.84	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.97	0.0	1.0	0.99	0.84	0.0	0.0	0.42	0.0	0.83	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.31	0.17	0.0	0.0
Hesperocallis	367	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.79	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0
Ephedra_3	1442	0.93	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0.88	0.96	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	1.0	0.99	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.35	0.0	0.0	0.0
Ephedra_2	1029	0.88	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.88	0.99	0.0	0.0	0.89	0.96	0.0	0.0	0.0	0.0	0.0	0.67	0.91	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.99	0.7	0.0	0.0	0.38	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.0	0.13	0.66	0.0	0.0
Xanthium	1267	0.57	0.42	0.0	0.33	0.67	0.25	0.57	0.53	0.0	0.78	0.27	0.67	0.25	0.43	0.21	0.32	0.0	0.69	0.33	0.58	0.33	0.13	0.0	0.24	0.5	1.0	1.0	0.41	0.56	0.43	0.73	1.0	0.2	0.0	0.95	0.62	0.0	0.77	0.84	0.45	0.55	0.49	0.13	0.75	0.46	0.0	0.64	0.67	0.0	0.55	0.44	0.3	1.0	0.25	0.5	0.0	0.27	0.11	0.0	0.56	0.37	0.88
Iris	2845	0.5	0.67	0.43	0.52	0.57	0.71	0.83	0.7	0.7	0.48	0.43	0.91	0.37	0.0	0.54	0.63	0.0	0.66	0.72	0.67	0.38	0.53	0.3	0.32	0.0	0.53	0.45	0.52	0.46	0.48	0.0	0.64	0.42	0.0	1.0	0.0	0.67	0.68	0.68	0.75	0.0	0.8	0.67	0.5	0.35	0.0	0.79	0.36	0.2	0.44	0.62	0.33	0.0	0.0	0.44	0.3	0.58	0.4	0.11	0.5	0.5	0.47
Ptelea	343	0.83	0.0	0.0	1.0	1.0	1.0	1.0	0.8	0.0	1.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.96	0.0	1.0	1.0	0.0	0.0	1.0	0.92	0.0	0.14	0.0	0.0	0.0	1.0	0.0
Ranunculus_2	6963	0.65	0.67	0.56	0.72	0.89	0.73	0.9	0.56	0.32	0.66	0.53	1.0	0.4	0.0	0.59	0.62	0.0	0.72	0.79	0.52	0.65	0.76	0.61	0.5	0.83	0.57	0.73	0.48	0.52	0.69	0.65	0.85	0.71	0.0	0.97	0.63	0.41	0.84	0.81	0.65	0.53	0.62	0.56	0.73	0.57	0.0	0.81	0.67	0.4	0.52	0.56	0.61	0.58	0.67	0.8	0.44	0.61	0.67	0.07	0.83	0.59	0.63
