taxon	total number of records	% total geocoded	Alameda	Alpine	Amador	Butte	Calaveras	Colusa	Contra Costa	Del Norte	El Dorado	Fresno	Glenn	Humboldt	Imperial	Inyo	Kern	Kings	Lake	Lassen	Los Angeles	Madera	Marin	Mariposa	Mendocino	Merced	Modoc	Mono	Monterey	Napa	Nevada	Orange	Placer	Plumas	Plumas or Sierra	Riverside	Sacramento	San Benito	San Bernardino	San Diego	San Francisco	San Joaquin	San Luis Obispo	San Mateo	Santa Barbara	Santa Clara	Santa Clara/Santa Cruz county line	Santa Cruz	Shasta	Sierra	Siskiyou	Solano	Sonoma	Stanislaus	Sutter	Tehama	Trinity	Tulare	Tuolumne	Unknown	Ventura	Yolo	Yuba
Draba_monoensis	21	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Juncus_hesperius	149	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.64	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.56	0.75	0.87	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blechnum_spicant	162	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.23	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Castilleja_tenuis	405	0.85	0.0	0.8	1.0	1.0	1.0	1.0	0.0	0.0	0.88	0.9	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.94	0.0	0.67	0.0	0.63	0.5	0.0	0.74	0.6	0.0	0.0	0.89	0.0	0.88	0.84	0.0	0.0	0.0	0.0	1.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.85	0.85	0.0	0.0	0.0	0.0	1.0	0.33	0.9	1.0	0.0	1.0	0.0	1.0
Angelica_tomentosa	336	0.51	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.25	0.0	0.0	1.0	0.3	0.0	0.0	0.0	0.0	0.5	0.0	0.64	0.0	0.55	0.0	0.73	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.93	0.77	0.0	0.0	0.0	0.64	0.5	0.75	0.0	0.8	0.0	0.0	0.24	0.0	0.29	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0
Adiantum_aleuticum	657	0.51	1.0	0.0	0.0	0.94	0.0	0.0	0.0	0.43	0.33	0.8	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.73	1.0	0.38	0.41	0.27	0.0	0.0	1.0	0.51	0.0	0.71	0.0	0.4	0.64	0.0	1.0	0.0	0.0	0.68	0.0	0.0	0.0	0.64	0.5	0.73	1.0	0.0	0.84	0.33	0.71	0.4	0.0	0.62	0.0	0.0	0.67	0.34	0.43	0.5	0.0	0.0	0.0	0.5
Juncus_orthophyllus	410	0.77	0.0	0.57	0.0	0.97	0.0	0.0	0.0	0.4	0.59	1.0	0.0	1.0	0.0	0.63	0.0	0.0	0.0	0.5	1.0	1.0	0.0	0.69	1.0	0.0	0.75	0.78	0.0	0.0	0.89	0.0	1.0	0.92	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	1.0	0.0	0.33	0.0	0.0	0.0	0.75	0.83	0.37	0.0	1.0	0.0	0.0	1.0	0.56	0.78	0.63	0.0	0.0	0.0	1.0
Rigiopappus_leptocladus	848	0.55	0.25	0.0	0.0	0.36	0.5	0.92	0.36	0.0	0.54	0.83	0.75	0.12	0.0	0.0	0.54	0.0	0.86	0.5	0.68	0.67	0.43	0.63	0.42	0.5	0.7	1.0	0.26	0.62	0.25	0.0	0.63	0.29	0.0	1.0	0.0	0.46	0.0	0.0	0.0	0.0	0.47	0.52	0.88	0.52	0.0	0.0	0.71	0.0	0.44	0.0	0.4	0.27	1.0	0.79	0.53	0.33	0.46	0.0	0.73	1.0	0.0
Epilobium_densiflorum	857	0.73	0.62	0.88	1.0	0.95	0.85	0.89	0.8	0.0	0.71	0.64	0.83	0.18	0.0	0.0	0.67	0.0	0.89	0.82	0.81	0.67	0.75	0.55	0.55	1.0	0.77	0.75	0.52	0.11	0.8	0.0	1.0	0.73	0.0	0.97	0.73	0.5	1.0	0.9	0.0	1.0	0.56	0.9	0.6	0.54	0.0	0.78	0.77	0.67	0.68	0.3	0.69	1.0	1.0	0.83	0.58	0.56	0.74	0.0	0.5	0.0	1.0
Eschscholzia_lemmonii	288	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.61	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.47	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
Galium_sparsiflorum	144	0.67	0.0	0.0	0.0	0.89	1.0	1.0	0.0	0.0	1.0	0.5	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.56	0.0	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.52	0.75	0.14	0.0	0.0	0.75
Calochortus_macrocarpus	64	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eriogonum_kelloggii	27	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Asclepias_solanoana	95	0.87	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.89	0.0	0.0	1.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0
