taxon,18S,atpB,ndhF,
Ambrosia_dumosa,,,,
Ambrosia_eriocentra,,,,
Ambrosia_ilicifolia,,,,
Ambrosia_monogyra,,,,
Ambrosia_psilostachya,,,,
Ambrosia_pumila,,,,
Ambrosia_salsola,,,,
Amelanchier_alnifolia,,,,
Amelanchier_utahensis,,,,
Ammannia_coccinea,,,,
Ammannia_robusta,,,,
Ammoselinum_giganteum,,,,
Amorpha_californica,,,,
Amorpha_fruticosa,,,,
Amphiscirpus_nevadensis,,,AY129254.1,
Amsonia_tomentosa,,,,
Anagallis_minima,,,AY839968.1,
Anaphalis_margaritacea,,,HM445660.1,
Ancistrocarphus_filagineus,,,,
Ancistrocarphus_keilii,,,,
Andropogon_glomeratus,,,,
Androsace_filiformis,,,,
Androsace_elongata,,,,
Androsace_occidentalis,,,,
Androsace_septentrionalis,,,AF421116.1,
Androstephium_breviflorum,,,AF508349.1,
Anelsonia_eurycarpa,,,DQ288729.1,
Anemone_deltoidea,,,,
Anemone_drummondii,,,,
Anemone_grayi,,,,
Anemone_lyallii,,,,
Anemone_multifida,,,,
Anemone_occidentalis,,EU053873.1,,
Anemone_oregana,,,,
Anemone_tuberosa,,,,
Anemopsis_californica,AF197576.1,AF197608.1,,
Angelica_arguta,,,,
Angelica_breweri,,,,
Angelica_californica,,,,
Angelica_callii,,,,
Angelica_genuflexa,,,,
Angelica_hendersonii,,,,
Angelica_kingii,,,,
Angelica_lineariloba,,,,
Angelica_lucida,,,,
Angelica_tomentosa,,,,
Sphenosciadium_capitellatum,,,,
Antennaria_argentea,,,,
Antennaria_corymbosa,,,,
Antennaria_dimorpha,,,,
Antennaria_flagellaris,,,,
Antennaria_geyeri,,,,
Antennaria_howellii,,,L39436.1,
Antennaria_luzuloides,,,,
Antennaria_marginata,,,,
Antennaria_media,,,,
Antennaria_microphylla,,,HM445711.1,
Antennaria_pulchella,,,,
Antennaria_racemosa,,,,
Antennaria_rosea,,,,
Antennaria_suffrutescens,,,,
Antennaria_umbrinella,,,,
Anthoxanthum_nitens,,,,
Anthoxanthum_occidentale,,,,
Antirrhinum_cornutum,,,,
Antirrhinum_coulterianum,,,,
Antirrhinum_cyathiferum,,,JN848493.1,
Antirrhinum_filipes,,,,
Antirrhinum_kelloggii,,,,
Antirrhinum_kingii,,,,
Antirrhinum_leptaleum,,,,
Antirrhinum_multiflorum,,,,
Antirrhinum_nuttallianum,,,JN848494.1,
Antirrhinum_ovatum,,,,
Antirrhinum_subcordatum,,,,
Antirrhinum_vexillocalyculatum,,,,
Antirrhinum_virga,,,,
Mohavea_breviflora,,,,
Mohavea_confertiflora,,,AJ250389.1,
Anulocaulis_annulatus,,,,
Aphanes_occidentalis,,,,
Aphanisma_blitoides,,,AY858628.1,
Apiastrum_angustifolium,,,,
