taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Bikinia,AF513677.1,EU361884.1,,,,AF549289.1,,,
Bikkia,AY763872.1,,,AM117342.1,AM117208.1,AY763805.1,,,
Bilacunaria,KJ700298.1,,,,,,,,
Billardiera,AY829021.1,U58625.1,,AJ236268.1,U50262.1,AY829050.1,AJ236001.1,AJ236214.1,
Billbergia,,KU762841.1,,L75858.1,JF280688.1,KJ580300.1,AY952407.1,,
Billburttia,KJ173484.1,,,,,,,,
Billia,EU687577.1,EU687705.1,,,AJ402929.1,,,,
Billieturnera,AY591817.1,FJ204699.1,,FJ204742.1,,,,,
Binaria,,,,,,,,,
Biondia,,,,,,HE793754.1,,,
Bionia,KJ402386.1,KC779551.1,,,,KJ402396.1,,,
Biophytum,EU436864.1,,,,JN543866.1,JN620115.1,,,
Biotia,,,,,,,,,
Bipinnula,JQ045521.1,FR832098.1,,,FR831957.1,FR832135.1,,,
Bisboeckelera,,,,,FN870773.1,,,,
Bischofia,KR531846.1,AY552420.1,AF520184.1,FJ670114.1,AY663571.1,,AB233605.1,AB233709.1,
Biscutella,DQ452057.1,JN987158.1,,DQ288738.1,,KR262108.1,,,
Bisglaziovia,,,,,,,,,
Bisgoeppertia,FJ232556.1,AJ512342.1,,,,,,,
Bishopalea,,,,,,,,,
Bishopanthus,,,,,,,,,
Bishopiella,KP901155.1,,,KP454908.1,,KP901213.1,,,
Bishovia,,,,,,,,,
Bismarckia,,AM114597.1,,,AJ829852.1,AM113634.1,,,
Bissetia,,,,,,,,,
Bistorta,JN235094.1,KC474192.1,GU351161.1,EU840372.1,JN234988.1,HQ843160.1,,,
Biswarea,,,,,,,,,
Bituminaria,EF517908.1,EU717398.1,,,U74221.1,EU717349.1,,EU717497.1,
Bivinia,,JX517831.1,,AY757111.1,JX572333.1,AY757004.1,,,
Bivonaea,HQ327490.1,,,,,HQ268713.1,,,
Bixa,KF055235.1,FM179929.1,AF520136.1,EU077547.1,AF022128.1,FM179540.1,AF206868.1,AF035897.1,
Bizonula,,,,,,,,,
Blachia,,AB268040.1,,,AY794888.1,AY794727.1,AB268092.1,AB267988.1,
Blackallia,AY911558.1,,,,,EF528505.1,,,
Blackstonia,KX167685.1,HM850819.1,,,KM360672.1,AF402198.1,,,
Blainvillea,AY303404.1,AY297646.1,,,JQ933237.1,AY297679.1,,,
Blakea,AY460441.1,,,AF215555.2,AF215516.2,,,,
Blakeanthus,,,,,,,,,
Blakiella,DQ479034.1,,,,,,,,
Blanchetia,KM053288.1,,,KM243836.1,,,,,
Blanchetiastrum,,,,,,,,,
Blanchetiodendron,JX870658.1,,,,,JX870790.1,,,
Blancoa,,EU499236.1,,,,AJ387728.1,,,
Blandfordia,,JX903609.1,DQ401412.1,AY147776.1,Z73694.1,HM459535.1,AF206869.1,AY147615.1,
Blasia,,,,,AB476555.1,AY507523.1,AY688705.1,DQ646047.1,
Blastemanthus,,KF263229.1,,KF263295.1,KF263343.1,KF263416.1,,,
Blastus,KM521839.1,HQ415241.1,,AF215585.1,KP095022.1,,,,
Bleasdalea,EU642786.1,EU642693.1,,EU642662.1,EU676050.1,EU676058.1,,EU642723.1,
Blechnidium,,,,,,,,,
Blechnopsis,,,,,,,,,
Blechnum,GQ434402.1,JF832276.1,,EU349589.1,KJ170835.1,KJ170866.1,AF313570.1,JF832157.1,
Blechum,,,,,,,,,
Bleekrodea,,,,AY289268.1,,,,,
Blennodia,JX630159.1,,,,JX630173.1,JX134207.1,,,
Blennosperma,EF538158.1,AF460029.1,,L39433.1,,EF028720.1,,,
Blennospora,JX564702.1,AF151444.1,,,,AF141782.1,,,
Blepharandra,,AF344532.1,,AF351008.1,HQ247448.1,,,,
Blepharidachne,GU359275.1,JN681618.1,,JN681720.1,JN681653.1,EF156672.1,,,
Blepharidium,AY730287.1,,,GQ852176.1,GQ852310.1,AF152735.1,,,
Blepharidophyllum,,,,,KF852363.1,KJ802086.1,,KF852073.1,
Blephariglottis,,,,,,,,,
Blepharipappus,AF229316.1,,,,,,,,
Blepharis,KM034027.1,KU757322.1,AF520153.1,,KU757323.1,DQ054861.1,,,
Blepharispermum,AF229260.1,AY215768.1,,L39456.1,AY215088.1,AY216147.1,,,
Blepharistemma,,,,,AF006761.1,,,,
Blepharizonia,AF229323.1,,,,,,,,
Blepharocalyx,AM234084.1,AY521531.1,,AY498772.1,KF981246.1,,JN660885.1,,
Blepharocarya,,,,,U38928.2,KP055488.1,,GU943754.1,
Blepharodon,JN805901.1,DQ026718.1,,,,JN574622.1,,,
Blepharolejeunea,DQ987290.1,,,,DQ983659.1,DQ987397.1,,,
Blepharoneuron,,,,,,,,,
Blepharostoma,AF033627.1,,,,KF852383.1,AY463548.1,,DQ646020.1,
Blepharozia,,,,,,,,,
Blephilia,JQ669077.1,GU381743.1,,,,GU381580.1,,,
Bletia,FJ427907.1,AY121718.1,,,AF264156.1,DQ445833.1,,,
Bletilla,KP751384.1,EF079331.1,,,AF074114.1,AF519939.1,,,
Blighia,JN190976.1,AY724277.1,,,AY724346.1,JN191021.1,,,
Blighiopsis,,,,,,,,,
Blindia,JX679939.1,LN828321.1,,JN162186.1,AB125590.1,AF231174.1,AF023681.1,JN162145.1,
Blindiopsis,,,,,,,,,
Blinkworthia,,KR024900.1,,,,,,,
Blomia,EU720444.1,EU720611.1,,,,EU721396.1,,,
Bloomeria,,HM640638.1,,AF508373.1,HM640520.1,AF508484.1,HM640753.1,JX903834.1,
Blossfeldia,AY064349.1,AY015284.1,,,AY875232.1,HM041234.1,,HQ620742.1,
Blotiella,,,,,U05911.1,,,EF463372.1,
Blumea,KF443296.1,KF443303.1,,LN607606.1,KF443314.1,KP052684.1,,,
Blumenbachia,,AY250186.1,,,,AY254227.1,,,
Blumeodendron,DQ866525.1,LK021392.1,,,AJ418805.1,DQ899181.1,,,
Blumeopsis,EF210960.1,,,LN607607.1,JQ933238.1,EU195616.1,,,
Blutaparon,,,,,,,,,
Blysmus,,KJ513577.1,,FM160514.1,AJ404700.1,JX644728.1,,,
Blyttia,AJ320443.1,,,,,AJ410195.1,,,
Blyxa,JN578091.1,AB088781.1,,,AB088810.1,,AY952406.1,,
Bobartia,AF130256.1,AJ580604.1,,,AJ307079.1,AJ409615.1,,,
Bobea,DQ063668.1,JN564046.1,,,AM117209.1,,,,
Bobgunnia,EF560800.1,EU361885.1,,,AM234258.1,AY232778.1,,,
Bocagea,,,,,,,,,
Bocageopsis,,JQ690409.1,,JQ690410.1,AY841601.1,AY841679.1,,,
Bocconia,,JQ588568.1,,,JQ593071.1,,,,
Bocoa,FJ037826.1,JX295928.1,,,JQ626179.1,EF527582.1,,,
Bocquillonia,,,,,AY794958.1,AY794796.1,,,
Boea,FJ501321.1,,,U62205.2,KF496760.1,FJ501477.1,,,
Boeberastrum,AF413601.1,,,AF405253.1,,,,,
Boeberoides,AF413611.1,,,AF405256.1,,,,,
Boechera,JX147002.1,AF144351.1,,DQ288741.1,JX848436.1,JX146142.1,,,
Boehmeria,KP093179.1,KF137963.1,KF138081.1,AY289254.1,KJ773314.1,KF782859.1,,JF317417.1,
Boeica,HQ632951.1,,,,FJ501380.1,FJ501441.1,,,
Boelckea,,,,,,,,,
Boenninghausenia,,EF489070.1,,,,EF489218.1,,,
Boerhavia,KR215624.1,AY042558.1,,,JQ933239.1,KU172534.1,,,
Boerlagella,,,,,,,,,
Boesenbergia,KF982795.1,JX992840.1,HQ437984.1,,KJ871769.1,AY424778.1,,,
Bognera,,EF173537.1,,,AM905765.1,EF173572.1,,,
Bogoria,AB217536.1,AB217712.1,,,,,,,
Boholia,,LN680343.1,,AM949848.1,AM117250.1,,,,
Boisduvalia,,,,,,,,,
Boissiera,KM077288.1,LN554424.1,,HE575764.1,HE575813.1,,,,
Bolandia,KC900098.1,GU817430.1,,GU817836.1,,KC900108.1,,,
Bolandra,U51255.1,L34117.1,,,U06209.1,,,,
Bolanosa,,,,,,,,,
Bolanthus,,,,,,,,,
Bolax,,AY188398.1,,,AY188419.1,,,,
Bolbitis,,,,,AB232399.1,AY536367.1,,EF463381.1,
Bolbosaponaria,,,,,,,,,
Bolboschoenoplectus,,,,,,,,,
Bolboschoenus,DQ385556.1,HM850837.1,,FM160515.1,AB369956.1,AY506698.1,,,
Bolbostemma,KT030226.1,DQ469139.1,,,DQ501255.1,DQ501264.1,,,
Boleum,AF263387.1,JN585007.1,,,GQ248705.1,AY751773.1,,,
Bolocephalus,,,,,,,,,
Boltonia,AF046975.1,,,,KJ773316.1,,,,
Bolusanthus,EF457708.1,AF142685.1,,,U74243.1,,,,
Bolusia,JQ067344.1,JQ040984.1,,,JQ041114.1,,,,
Bolusiella,DQ091664.1,DQ091355.1,,,KU748158.1,DQ091479.1,,,
Bomarea,EU159942.1,JQ404866.1,JQ404978.1,JQ404636.1,JN417500.1,,AF206871.1,KP083033.1,
Bombax,DQ826447.1,HQ696690.1,AF520148.1,AF111726.1,AF022118.1,AY328149.1,U42507.1,AJ233051.1,
Bombycidendron,,,,,,,,,
Bombycilaena,FN645844.1,HM445608.1,,HM445685.1,,FN645771.1,,,
Bommeria,,,,,U19497.1,,,EF452022.1,
Bonamia,DQ219867.1,KR024901.1,,,AY101030.1,AY101127.1,,AY100809.1,
Bonania,JN250089.1,LK021393.1,,JN249079.1,JN249244.1,AY794613.1,,,
Bonannia,,,,,,,,,
Bonanox,,,,,,,,,
Bonatea,,,,,,,,,
Bonaveria,,,,,,,,,
Bonellia,,JQ588859.1,,AF207962.1,AF213816.1,AY228611.1,,,
Bonetiella,,,,,AY462010.1,AY594543.1,,,
Bongardia,,AB069840.1,,AY145157.1,L75870.2,,,,
Bonia,DQ131507.1,FR832792.1,,,KF764877.1,DQ137339.1,,,
Boniniella,,,,,,,,,
Boniodendron,,,,,,,,,
Bonnetia,,EF135509.1,EF135292.1,HQ331852.1,AJ402930.1,,FJ707523.1,FJ707526.1,
Bonplandia,GU905092.1,L34179.1,,AF207966.1,,EU348375.1,L49273.1,,
Bontia,,KJ012473.1,,AJ617613.1,KJ082139.1,,,,
Bonyunia,JF937927.1,,,AJ235833.1,AJ235818.1,AF159697.1,,,
Boophone,AF373074.1,JX464523.1,,AY434486.1,AF116945.1,JX464336.1,,,
Boopis,EU841175.1,EU841363.1,,L39384.1,L13860.1,EU547627.1,AF107583.1,AJ236199.1,
Boquila,AY029789.1,KM364775.1,,EF624347.1,L37915.1,AF335291.1,L37906.1,,
Borago,AF091151.1,AJ429308.1,HQ384791.1,L36393.1,KT740813.1,KF288034.1,AF107580.1,AJ235414.2,
Borassodendron,,AM114603.1,,,AJ404768.1,AM903238.1,,,
Borassus,,AM114604.1,,AY044530.1,AY012469.1,AM903242.1,AY012355.1,AY012412.1,
Borbonia,,,,,,,,,
Bordasia,,,,,,,,,
Boreava,,,,,,,,,
Borismene,,KC494024.1,,JN051702.1,FJ026462.1,JN051746.1,,FJ026402.1,
Borneacanthus,,,,,,,,,
Borneodendron,,,,,,,,,
Borneosicyos,,DQ536638.1,,,DQ535785.1,EF065447.1,,,
Bornmuellera,KF022638.1,,,KF022964.1,,KF022823.1,,,
Borodinia,JX146999.1,,,,,JX146151.1,,,
Boronella,,,,,,,,,
Boronia,KP867694.1,FJ716744.1,,,JN987080.1,KP867805.1,,JN986999.1,
Borrichia,AY196729.1,,,,AF119187.1,,,,
Borthwickia,KR936124.1,JQ733089.1,,JQ733103.1,JQ733116.1,JQ733127.1,,,
Borya,,AY368373.1,,JX903439.1,Y14985.1,KP227759.1,AF206872.1,JX903855.1,
Boschia,,,,,,,,,
Boschniakia,KP281270.1,AF051979.1,,,AF026818.1,EU366157.1,U59951.1,,
Boscia,JQ229788.1,EU371749.1,KU739654.1,EU373678.1,KU739573.1,KR738042.1,,,
Bosea,,AY514810.1,,DQ097397.1,AY270069.1,,,,
Bosistoa,DQ225788.1,KM894628.1,,,JN987082.1,AF025509.1,,JN987002.1,
Bosqueiopsis,,,,,,,,,
Bossera,,,,,,,,,
Bossiaea,KM876898.1,AY386888.1,,KM876750.1,,KM876839.1,,,
Bostrychanthera,JX893208.1,HQ911423.1,,,,JX893311.1,,,
Boswellia,AF080063.1,AY594461.1,,,GU246022.1,AY594499.1,,GU246050.1,
Bothriochloa,DQ005025.1,HE574007.1,,LN908054.1,LN907892.1,DQ004962.1,,,
Bothriocline,JN715914.1,,,EF155658.1,,JN715871.1,,,
Bothriospermum,AB808585.1,,,,,JX976912.1,,,
Bothriospora,FJ984965.1,FJ905339.1,,FJ871948.1,,,,,
Botor,,,,,,,,,
Botryarrhena,,,,KF965021.1,KF964814.1,EU821638.1,,,
Botrychium,,KP757848.1,DQ110372.1,,DQ849188.1,KF700450.1,U18623.1,U93826.2,
Botryophora,,,,,,,,,
Botrypus,,AB716741.1,DQ110313.1,,AY138408.1,KF700456.1,AF313566.1,,
Botschantzevia,EF514690.1,,,,,GU181986.1,,,
Bottegoa,,,,,AJ402931.1,HM637912.1,,FR747871.1,
Bouchardatia,,KM894969.1,,,JN987083.1,,,JN987003.1,
Bouchea,DQ070726.1,JQ589421.1,,HM216692.1,U32162.1,HM216596.1,,,
Bouchetia,,,,,,,,,
Bouea,AB071691.1,,,,,AY594500.1,,,
Bougainvillea,KJ161170.1,JQ844141.1,,AF194825.1,M88340.1,,AF206873.1,AJ235415.2,
Bougueria,,,,,,,,,
Boulaya,FM161080.1,,,,AB024963.1,,,,
Bournea,KJ475433.1,KJ137897.1,,U62183.2,HQ327452.1,KM979453.1,,,
Bourreria,DQ197285.1,DQ197229.1,,AF047797.1,AF258345.1,KM893035.1,U38319.1,,
Bousigonia,,HG004982.1,,,KF181553.1,,,,
Bouteloua,KR184962.1,FR821320.1,,EF561647.1,JN681655.1,,,EF422971.1,
Boutiquea,,,,,,,,,
Boutonia,,,,,,,,,
Bouvardia,AM939432.1,,,FJ695292.1,X83626.1,DQ359165.1,,AJ235416.2,
Bouzetia,,,,,,,,,
Bowdichia,JX124475.1,JX124393.1,,,KF667939.1,,,,
Bowenia,AF531228.1,AB076221.2,,AF469693.1,L12671.1,AF531185.1,FJ179549.1,AB645702.1,
Bowiea,HQ615146.1,AB088790.1,,JQ276795.1,JQ273913.1,AF508503.1,JQ283902.1,AJ508185.1,
Bowkeria,AJ616315.1,JX517768.1,,AJ617589.1,JX572343.1,AJ621106.1,,,
Bowlesia,,,,,U50232.1,,,,
Bowringia,KP092704.1,KP093643.1,,,KP094573.1,,,,
Boyania,,,,,JQ899086.1,,,,
Boykinia,U51250.1,L34119.1,,,AM183413.1,,U42806.1,AJ235417.2,
Brabejum,EU642803.1,EU642707.1,,EU642677.1,U79166.1,,,EU642737.1,
Brachanthemum,EF577291.1,,,EU334464.1,,EF577344.1,,,
Brachelyma,AF192094.1,,,,,,,,
Brachiaria,AY346342.1,HE574037.1,,GU594621.1,LN907899.1,GU594558.1,,,
Brachiolejeunea,KT190895.1,,,,DQ983660.1,KT190779.1,,,
Brachionidium,AF262913.1,AF265488.1,,,,AF291102.1,,,
Brachionostylum,,,,,,,,,
Brachistus,AY665845.1,,,EU580864.1,,EU580963.1,,,
Brachyachne,GU359253.1,,,,,,,,
Brachyactis,,,,,,,,,
Brachybotrys,JQ388498.1,JQ388524.1,,JQ388552.1,,,,,
Brachycarpaea,DQ249846.1,GQ424588.1,,DQ288775.1,AM234933.1,DQ518369.1,,,
Brachycereus,,JX683859.1,,,,,,,
Brachychiton,EF190036.1,JX495761.1,,AY795594.1,GU981722.1,,,GU981689.1,
Brachychloa,GU359256.1,JN681627.1,,JN681722.1,JN681657.1,,,,
Brachyclados,,EU385329.1,,EU385137.1,KT344990.1,EF530270.1,,,
Brachycome,JX564703.1,AB436874.1,,,JQ933242.1,JX564649.1,,,
Brachycorythis,AJ000146.1,KM651425.1,,,AM235037.1,KM651587.1,,,
Brachycylix,FJ817504.1,,,,,,,,
Brachydontium,,,,,,,,,
Brachyelytrum,EU489105.1,LN554425.1,,GU222731.1,EF423006.1,EU489326.1,,EF422974.1,
Brachyglottis,EF660537.1,KT345017.1,,KT345063.1,KT345081.1,GU817977.1,,KT344991.1,
Brachylaena,AY826236.1,KF989910.1,,EU385138.1,EU384952.1,KF989709.1,,KM191989.1,
Brachylobus,,,,,,,,,
Brachyloma,KC197134.1,AF015633.1,,,JX993990.1,,,,
Brachylophon,AY137313.1,HQ247215.1,,AF351018.1,HQ247449.1,AY137289.1,,,
Brachymeniopsis,,,,,,,,,
Brachymenium,EU878199.1,,,,AY163021.1,AY150345.1,AF023702.1,,
Brachymitrion,,,,,AF478235.1,AY501400.1,,,
Brachynema,,,,,,,,,
Brachyodon,,,,,,,,,
Brachyodus,,,,,,,,,
Brachyotum,KF463028.1,,,,,,,,
Brachypeza,DQ091722.1,AB217714.1,,,,,,,
Brachyphragma,,,,,,,,,
Brachypodium,JX665830.1,XM_014902336.1,,LN908065.1,LN626640.1,KU163230.1,,DQ780965.1,
Brachyscias,,,,,,,,,
Brachyscome,JX564703.1,AB436874.1,,,JQ933242.1,JX564649.1,,,
Brachysema,AF518119.1,AY386885.1,,AY883271.1,,AF518161.1,,,
Brachysiphon,AM235859.1,AY151578.1,,AJ605095.1,AJ605085.1,,AM235495.1,,
Brachysola,GQ381135.1,,,GQ381201.1,,,,,
Brachystegia,AF513687.1,EU361886.1,,,KF147455.1,AF233490.1,,,
Brachystele,JQ045526.1,HG425366.1,,,FN870776.1,HG425369.1,,FJ571165.1,
Brachysteleum,,,,,,,,,
Brachystelma,KP244919.1,,,,AM234832.1,KP245477.1,,,
Brachystemma,,,,,JQ933244.1,,,,
Brachystephanus,DQ372470.1,,,,,,,,
Brachytheciastrum,EF617553.1,,,,AY663300.1,GQ428067.1,,,
Brachytheciella,,,,,,,,,
Brachythecium,KJ158271.1,HF585132.1,,,HG009093.1,KJ158266.1,GQ497589.1,DQ646085.1,
Brachythrix,EF155748.1,,,EF155660.1,,JN715872.1,,,
Brachytome,,,,KF965022.1,,,,,
Brachytrichum,,,,,,,,,
Bracisepalum,AF281120.1,AY003873.1,,,,,,,
Brackenridgea,KF263225.1,KF263290.1,,KF263304.1,JN564177.1,KP196884.1,,,
Bradburia,,,,,,,,,
Bradburya,,,,,,,,,
Bradea,,,,,,,,,
Bradlea,,,,,,,,,
Braemia,AF239380.1,AF239476.1,,,,AF239572.1,,,
Bragaia,,,,,,,,,
Brahea,,AM114580.1,,HQ720600.1,AJ829853.1,AM113628.1,,,
Brainea,,,,,AB040576.1,,,JN168027.1,
Braithwaitea,,,,,AY524441.1,AY524497.1,,GQ497607.1,
Brandegea,,,,,,,,,
Brandella,KF287952.1,KF287783.1,,,,KF288035.1,,,
Brandisia,KJ563191.1,KC542149.1,,AJ619577.1,EU366160.1,KJ563210.1,,,
Brandzeia,AY955794.1,EU361870.1,,,,AY958492.1,,,
Brasenia,EF526394.1,DQ185529.1,FM242178.1,,M77031.1,,AF206874.1,AF209544.1,
Brasilettia,,,,,,,,,
Brasilia,,,,,,,,,
Brasilicactus,,,,,,,,,
Brasilicereus,,JX683870.1,,,,,,,
Brasiliocroton,EU586944.1,,,EF416922.1,AY794907.1,AY794691.1,,,
Brasiliopuntia,JF786876.1,FN997068.1,,,AY875234.1,JF712685.1,,,
Brasiliorchis,DQ210150.1,DQ210588.1,,,DQ209600.1,,,,
Brassaiopsis,JX106268.1,KR530486.1,,AY256895.1,JQ933245.1,AY753262.1,,,
Brassavola,AY008590.1,AF263819.1,,U20540.1,,AY422400.1,,,
Brassia,FJ565439.1,FJ564993.1,,,FJ534236.1,AF350677.1,,,
Brassiantha,FJ705508.1,HQ393818.1,,,,FJ705591.1,,,
Brassica,KX147541.1,LC064392.1,KU739643.1,DQ288742.1,KU739562.1,KF947386.1,,,
Brassiophoenix,KJ598239.1,AM114699.1,,,AJ404815.1,AJ241306.1,,,
Brassocattleya,,,,,,,,,
Braunfelsia,,,,,,AF435307.1,,,
Braunia,,,,,,LN714306.1,,,
Braunsia,AJ438229.1,KF132654.1,,,AJ532657.1,AJ439019.1,,,
Bravaisia,EF214413.1,,,,,,,,
Braya,DQ059624.1,,,,,,,,
Brayopsis,KM376243.1,,,EU718525.1,,EU620339.1,,,
Brazoria,,HQ911432.1,,,,EF546890.1,,,
Brazzeia,,,,DQ388167.1,AF077656.1,DQ417934.1,,,
Brebissonia,,,,,KJ011806.1,,AM502026.1,,
Bredemeyera,GQ888884.1,EU596520.1,,,AM234171.1,AF366947.1,,,
Bredia,KT354879.1,KP093896.1,,KT354883.1,KT354892.1,,,,
Breea,,,,,,,,,
Breidleria,,,,,,,,,
Bremeria,AJ846872.1,HM119518.1,,HM164357.1,AM117249.1,,,,
Brenandendron,,,,,,,,,
Brenania,,,,,,,,,
Brenaniodendron,,,,,,,,,
Brenierea,,EU361889.1,,,AM234269.1,FJ801159.1,,,
Breonadia,KJ004377.1,JX518162.1,,GQ852178.1,AJ346967.1,KT218895.1,,,
Breonia,AJ346861.1,KR530354.1,,KC737674.2,KC737734.1,,,,
Bretschneidera,AF254758.1,AY483220.1,KU739639.1,AY483247.1,M95753.2,,,AF209546.1,
Breutelia,,,,,AF491023.1,AY857810.1,,,
Brevianthus,KT992495.1,,,,DQ026582.1,DQ026617.1,,,
Breviea,DQ246666.1,,,AY230667.1,DQ344345.1,DQ344282.1,,,
Brewcaria,,HQ900680.1,,AY208982.1,JF280689.1,HQ882714.1,,,
Breweria,,,,,AY101014.1,AY101123.1,,AY100805.1,
Breweriopsis,,,,,,,,,
Brexia,JX203487.1,EF135510.1,AY674482.1,EU002203.1,X83987.1,AY935754.1,U42543.1,AJ235419.2,
Brexiella,JX203509.1,JX203613.1,,,,JX203479.1,,,
Breynia,AY936651.1,JX231166.1,,AY374311.1,AY663573.1,KC428456.1,,AB233710.1,
Brianhuntleya,,KF132655.1,,,KF132543.1,AJ439012.1,,,
Brickellia,KM668973.1,KJ772589.1,,KP454911.1,KJ773319.1,,,,
Brickelliastrum,JQ737023.1,,,,,,,,
Bridelia,FJ439921.1,AY552421.1,,AY830305.1,KR528875.1,FJ440012.1,,AY830206.1,
Bridgesia,EU720476.1,EU720645.1,,,AY724347.1,EU721435.1,,,
Briggsia,,,,,,,,,
Briggsiopsis,GU350647.1,,,,,GU350679.1,,,
Brighamia,EU219385.1,,,,AF042664.1,DQ356189.1,,,
Brillantaisia,JX443754.1,,,U12654.1,,,,,
Brimeura,,JX090326.1,,,FN870777.1,FJ423214.1,,AJ508216.1,
Brintonia,AY523853.1,,,,,,,,
Briquetia,AY591818.1,JQ588218.1,,,JQ592495.1,,,,
Britoa,,,,,,,,,
Briza,KJ598893.1,FN908048.1,,DQ786820.1,FN870384.1,EU395877.1,,DQ780966.1,
Brocchia,,,,,,,,,
Brocchinia,,,,,,,,,
Brochoneura,,AY220442.1,,AY218179.1,,AY220364.1,,,
Brodiaea,,JQ276425.1,,JQ276812.1,JQ273930.1,AJ311074.1,JQ283923.1,JQ273635.1,
Brodriguesia,,EU361890.1,,,,,,,
Bromelia,,AY614023.1,,L75860.1,AY614389.1,AY614267.1,,,
Bromeliophila,KF039812.1,,,,KF039849.1,KF039879.1,,,
Bromheadia,KM921777.1,GQ145085.1,,,FN870778.1,KM921779.1,,,
Bromofestuca,,,,,,,,,
Bromopsis,KX165761.1,JN894144.1,,,JN890931.1,,,,
Bromuniola,,,,AY847124.1,HM167468.1,,,,
Bromus,KX147528.1,KM040733.1,,HF558459.1,KM360634.1,AB732926.1,,DQ780968.1,
Brongniartia,AF287638.1,AF142688.1,,,U74253.1,,,,
Bronwenia,,HQ247219.1,,KM197334.1,KM197474.1,,,,
Brookea,,,,,,,,,
Brosimum,FJ037845.1,JQ626346.1,,AY289331.1,JX987570.1,FJ917061.1,,,
Brothera,AB125300.1,AB742510.1,,,AB122033.1,AF231186.1,,,
Brotherella,,,,,AB051222.1,,,,
Brotherobryum,,,,,,,,,
Broughtonia,AY008570.1,AF263790.1,,,AF518069.1,AY422399.1,,,
Broussaisia,,GU217311.1,,AJ400891.1,AF323188.1,JF321172.1,,JF298845.1,
Broussonetia,KP093090.1,AF345326.1,,,JF317478.1,AF501602.1,JF317359.1,JF317399.1,
Browallia,KP100283.1,KP756836.1,,EU580865.1,AY206719.1,EU580964.1,,AM233358.1,
Brownea,FJ817505.1,EU361891.1,,,U74186.1,AF549294.1,,,
Browneopsis,,EU361894.1,,,AM234233.1,,,,
Browningia,,AY015315.1,,,FR853281.1,JQ779688.1,,,
Brownleea,DQ414851.1,DQ414994.1,,,AM235038.1,GU117880.1,,,
Brownlowia,,AY321184.1,,AF111756.1,AJ233147.1,,,AF035898.1,
Brucea,FJ980360.1,EU042849.1,AF520135.1,,EU042988.1,GU593009.1,,EU042778.1,
Bruchia,,,,,,AF435309.1,,,
Brugmansia,KP100296.1,KP756822.1,,EU580867.1,HM849829.1,EU580965.1,,AM233357.1,
Bruguiera,HM366131.1,AF105088.3,AY674483.1,EU002204.1,LC076099.1,LC076011.1,AF206875.1,,
Bruguieria,,,,,,,,,
Bruinsmia,AF396438.1,,AY725894.1,AF421045.1,AF396150.1,AF396164.1,,AY725935.1,
Brunellia,AY935891.1,EF135512.1,DQ110330.1,FJ670136.1,FJ707536.1,AY935781.1,AY929367.1,FJ669993.1,
Brunfelsia,JQ081215.1,KP756838.1,,JQ081175.1,AY206720.1,JQ081104.1,L49274.1,AM233151.1,
Brunia,AY494025.1,AY490942.1,,,AY490985.1,,,GQ983608.1,
Brunnera,GQ285234.1,KF287784.1,,KF287868.1,,GQ285273.1,,,
Brunnichia,FJ154465.1,AY042561.1,,EF438029.1,AF297136.1,JQ352627.1,,,
Brunonia,,JQ711617.1,,,X87380.1,KT750314.1,,AJ318966.1,
Brunoniella,JX443756.1,,,,,,,,
Brunsvigia,JX464260.1,JX464526.1,,AY434495.1,AM234805.1,JX464339.1,,,
Bruxanelia,,,,,,,,,
Brya,AF068142.1,AF270876.1,,,AB045788.1,EU735857.1,,,
Bryanthus,U48612.1,AF440413.1,,GU176715.1,AF419816.1,,,,
Bryantiella,EU339754.1,EU628528.1,,,,EU628481.1,,,
Bryaspis,AF204234.1,AF272068.1,,,,,,,
Bryhnia,KF434288.1,,,,HG009055.1,EF193337.1,,,
Brylkinia,KJ477051.1,LN554429.1,,GU222750.1,,GU254957.1,,,
Brymela,,,,,,HQ443851.1,,,
Bryoacantholoma,,,,,,,,,
Bryoandersonia,AF403626.1,,,,,AF397819.1,,,
Bryobartramia,JN089157.1,,,,JN089198.1,JN088935.1,,,
Bryobeckettia,JN089158.1,,,,JN089199.1,JN088936.1,,,
Bryobium,AY239946.1,,,U20601.1,,,,,
Bryobrittonia,JN089159.1,LN828311.1,,,AJ275168.1,DQ397197.1,AF023679.1,,
Bryobrothera,HQ443713.1,,,,AB103353.1,AY857812.1,,,
Bryocarpum,AJ491428.1,DQ378424.1,,,,DQ378830.1,,,
Bryoceuthospora,,,,,,,,,
Bryochenea,,,,,,,,,
Bryocrumia,,,,,,,,,
Bryodes,,FN773532.1,,,,FN794045.1,,,
Bryodesma,,,,,,,,,
Bryodixonia,,,,,AF005541.1,,,,
Bryodusenia,,,,,,,,,
Bryoerythrophyllum,JQ890527.1,,,,,GU953725.1,,,
Bryohaplocladium,,,,,,,,,
Bryohumbertia,,,,,,,,,
Bryolawtonia,FM161082.1,,,,,,,,
Bryomaltaea,,,,,AF005535.1,AY636004.1,,,
Bryomanginia,,,,,,,,,
Bryomnium,,,,,,,,,
Bryomorphe,,,,,AM234856.1,AF100483.1,,,
Bryonia,EU102732.1,DQ536641.1,,,EU102671.1,DQ533867.1,,,
Bryonoguchia,,,,,,,,,
Bryonorrisia,,,,,,,,,
Bryophyllum,KT246092.1,,,,,,KT246078.1,,
