Poa annua
Poa palustris
Poa howellii
Poa douglasii
Poa secunda ssp. secunda,Poa secunda subsp. secunda,Poa secunda var. secunda
Polypogon viridis,Agrostis viridis
Polypogon interruptus
Polypogon monspeliensis
Schismus arabicus
Schismus barbatus
Stenotaphrum secundatum
Stipa diegoensis,Achnatherum diegoense
Stipa cernua,Nassella cernua
Stipa lepida,Nassella lepida
Stipa pulchra,Nassella pulchra
Stipa miliacea var. miliacea,Stipa miliacea ssp. miliacea,Stipa miliacea subsp. miliacea,Piptatherum miliaceum
Triticum aestivum
Potamogeton crispus
Stuckenia pectinata,Potamogeton pectinatus
Ruppia maritima
Bloomeria crocea var. crocea,Bloomeria crocea ssp. crocea,Bloomeria crocea subsp. crocea
Brodiaea jolonensis
Brodiaea kinkiensis
Dichelostemma capitatum ssp. capitatum,Dichelostemma capitatum subsp. capitatum,Dichelostemma capitatum var. capitatum
Triteleia clementina
Triteleia hyacinthina
Typha angustifolia
Typha domingensis
Typha latifolia
Zannichellia palustris
Phyllospadix scouleri
Phyllospadix torreyi
Zostera marina
Zostera pacifica
Anemopsis californica
Sambucus nigra ssp. caerulea,Sambucus nigra subsp. caerulea,Sambucus nigra var. caerulea,Sambucus mexicana
Carpobrotus chilensis
Carpobrotus edulis
Delosperma litorale
Malephora crocea
Mesembryanthemum crystallinum
Mesembryanthemum nodiflorum
Sesuvium verrucosum
Tetragonia tetragonioides
Amaranthus albus
Amaranthus blitoides
Amaranthus deflexus
Amaranthus powellii
Malosma laurina,Rhus laurina
Rhus integrifolia
Rhus ovata
Schinus molle
Toxicodendron diversilobum
Apiastrum angustifolium
Apium graveolens
Berula erecta
Bowlesia incana
Conium maculatum
Daucus carota
Daucus pusillus
Foeniculum vulgare
Lomatium caruifolium
Lomatium insulare
Sanicula arguta
Sanicula crassicaulis
Sanicula hoffmannii
Torilis arvensis
Torilis nodosa
Yabea microcarpa,Caucalis microcarpa
Asclepias fascicularis
Funastrum cynanchoides var. hartwegii,Funastrum cynanchoides ssp. hartwegii,Funastrum cynanchoides subsp. hartwegii,Sarcostemma cynanchoides ssp. hartwegii,Sarcostemma cynanchoides subsp. hartwegii,Sarcostemma cynanchoides var. hartwegii
Vinca major
Achillea millefolium
Achyrachaena mollis
Acourtia microcephala,Perezia microcephala
Agoseris apargioides var. apargioides,Agoseris apargioides ssp. apargioides,Agoseris apargioides subsp. apargioides
Agoseris grandiflora
Agoseris heterophylla
Amblyopappus pusillus
Ambrosia acanthicarpa
Ambrosia chamissonis
Ambrosia psilostachya
Anthemis cotula
Arctium minus
Argyranthemum frutescens
Artemisia californica
Artemisia douglasiana
Artemisia dracunculus
Artemisia nesiotica
Baccharis glutinosa,Baccharis douglasii
Baccharis pilularis
Baccharis plummerae ssp. plummerae,Baccharis plummerae subsp. plummerae,Baccharis plummerae var. plummerae
Baccharis salicifolia,Baccharis glutinosa
Baccharis salicina,Baccharis emoryi
Baccharis sarothroides
Bahiopsis laciniata
