taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Arctostaphylos crustacea ssp. insulicola,GQ280990.1,,,,,,,,
Arctostaphylos crustacea ssp. subcordata,GQ280992.1,,,,,,,,
Arctostaphylos viridissima,AF297777.1,,,,,,,,
Vaccinium ovatum,AY274568.1,,,,,,,,
Xylococcus bicolor,AF091948.1,,,,,,,,
Euphorbia maculata,HQ645294.1,EU659800.1,,JX662749.1,JN249345.1,JN249677.1,,JX663801.1,
Euphorbia serpens,HQ645340.1,HQ645797.1,,,HM849995.1,HQ645646.1,,,
Euphorbia serpyllifolia,KT072831.1,HQ645798.1,,,HQ590027.1,HQ645647.1,,,
Croton setigerus,AY971249.1,,,EF416949.1,AY794910.1,AY794697.1,,,
Euphorbia crenulata,KJ149594.1,,,KJ149641.1,,,,,
Euphorbia misera,AF537383.1,,,JN249181.1,JN249350.1,JN249682.1,,,
Euphorbia peplus,JN010077.1,HM850919.1,,JN249197.1,JN249367.1,JN249699.1,,,
Euphorbia spathulata,KC212380.1,,,AF538233.1,JN249401.1,JN249728.1,,,
Ricinus communis,KR082766.1,LK021494.1,AY674560.1,FJ670089.1,HM850306.1,AY794734.1,,AB233663.1,
Acacia cyclops,JF420024.1,JQ412187.1,,,JQ412305.1,JF420460.1,,,
Acacia decurrens,DQ489970.1,KM392249.1,,,,,,,
Acacia dealbata,JF420089.1,JF419948.1,,,KF532044.1,KC958225.1,,,
Acacia melanoxylon,HM116949.1,AF274166.1,,EU811932.1,EU811887.1,KJ782136.1,,,
Acmispon americanus var. americanus,AF467067.1,AF142729.1,,,,,,,
Acmispon brachycarpus,DQ641988.1,,,,,,,,
Acmispon dendroideus var. dendroideus,AF218518.1,,,,,,,,
Acmispon maritimus var. maritimus,AF450167.1,,,,,,,,
Acmispon parviflorus,DQ641990.1,,,,,,,,
Acmispon strigosus,AF450201.1,,,,,,,,
Acmispon wrangelianus,AF450174.1,,,,,,,,
Albizia lophantha,EF638204.1,AF274128.1,,,Z70148.1,AF522962.1,,,
Astragalus didymocarpus var. didymocarpus,KJ475413.1,KJ137892.1,,,AJ490907.1,KR476552.1,,,
Astragalus trichopodus var. trichopodus,,,,,,,KJ774768.1,,
Caesalpinia spinosa,KF379235.1,KF379250.1,,,,AF430738.1,,,
Coronilla valentina,HQ665020.1,,,,,,,,
Genista linifolia,AF330678.1,KJ747839.1,,,KJ595798.1,AF443656.1,,,
Genista monspessulana,JF338371.1,AY386862.1,,,KM360800.1,JF338610.1,,,
Lathyrus odoratus,JN115031.1,,,,JN114814.1,AY839474.1,,,
Lathyrus tingitanus,JX506146.1,JX505822.1,,,JN661187.1,AY839466.1,,,
Lotus corniculatus,DQ312207.1,JN894450.1,,,U74213.1,,,,
Lupinus arboreus,AY338944.1,,,,Z70054.1,,,,
Lupinus bicolor,DQ524209.1,,,,,,,,
Lupinus chamissonis,DQ524218.1,,,,,,,,
Lupinus concinnus,DQ524214.1,,,,,,,,
Lupinus hirsutissimus,DQ524235.1,,,,,,,,
Lupinus microcarpus,AY338943.1,,,,Z70063.1,,,,
Lupinus succulentus,AF007494.1,,,,,,,,
Lupinus truncatus,DQ524318.1,,,,,,,,
Medicago polymorpha,DQ311981.1,AF522104.2,,,KJ773677.1,JX134221.1,,,
Medicago sativa,KF454515.1,AF169289.1,KT458982.1,AY029748.1,X04975.1,GQ488614.1,KJ507198.1,AF163770.1,
Melilotus albus,DQ311984.1,AF522110.2,KT458983.1,,DQ006095.1,AB546813.1,KT459197.1,,
Melilotus indicus,KP987740.1,AF522111.2,,,KJ773679.1,KP987616.1,,,
Pickeringia montana var. montana,JQ676964.1,,,,,,,,
Pisum sativum,KM189821.1,AY386961.2,AY453078.1,AF238058.2,X03853.1,AY839473.1,,X03852.1,
Robinia pseudoacacia,EF494737.1,AF142728.1,,,U74220.1,KP338329.1,KJ587747.1,,
Spartium junceum,DQ524327.1,AY386901.1,,,KM360993.1,AF352184.1,EU605787.1,,
Trifolium albopurpureum,AF053143.1,AF522116.1,,,,,,,
Trifolium barbigerum,DQ312010.1,,,,,,,,
Trifolium ciliolatum,AF053152.1,,,,,,,,
Trifolium fucatum,DQ312054.1,,,,,,,,
Trifolium gracilentum,DQ312060.1,AF522123.1,,,,,,,
Trifolium hirtum,AF053158.1,AF522124.1,,,,,,,
Trifolium macraei,DQ312085.1,,,,,,,,
Trifolium microcephalum,DQ312092.1,AF522128.1,,,,,,,
Trifolium microdon,DQ312093.1,,,,,,,,
Trifolium palmeri,DQ312061.1,,,,,,,,
Trifolium repens,EU036988.1,AF522131.1,,,KM361020.1,KP338349.1,AF071069.1,,
Trifolium willdenovii,DQ312194.1,AF522137.1,,,,,,,
Vicia americana,HM470633.1,KT456924.1,KT459000.1,,JX848469.1,JX505714.1,KT459213.1,,
Vicia benghalensis,HM470638.1,JX505842.1,,,JN661194.1,JX505718.1,,,
Vicia sativa ssp. nigra,KJ787135.1,JX505840.1,,,HM850456.1,,X61082.1,,
Vicia sativa ssp. sativa,HM470602.1,KP897125.1,,,KP896806.1,,,,
Vicia villosa,KJ787141.1,KT456925.1,KT459001.1,,HM850464.1,JX505785.1,KT459214.1,,
Quercus chrysolepis,AF098444.1,HE611285.1,,,KF418903.1,KF419047.1,,,
Quercus douglasii,,,,,KF683145.1,,,,
Quercus engelmannii,AF098420.1,,,,KF683146.1,,,,
Quercus kelloggii,AF098416.1,,,,,,,,
Quercus lobata,AF098422.1,AY042461.1,,,AY042498.1,,,,
Quercus tomentella,AF098437.1,FJ185058.1,,FJ185087.1,KF418907.1,KF419051.1,,,
Frankenia salina,,,,,,,AY099950.1,,
Garrya veatchii,JN234752.1,,,,,JN234732.1,,,
Zeltnera venusta,AY047715.1,,,,,AF402148.1,,,
California macrophylla,EF185338.1,KJ916367.1,KP962851.1,,KJ916488.1,DQ072015.1,,KJ916271.1,
Erodium botrys,EF185365.1,,,,,DQ072049.1,,,
Erodium brachycarpum,EF185366.1,,,,DQ452879.1,DQ072050.1,,,
Erodium cicutarium,EF185393.1,AM396500.2,,,DQ452882.1,AY651847.1,,,
Erodium moschatum,EF185409.1,HM850905.1,,,HM849983.1,DQ072086.1,,,
Erodium texanum,EF185345.1,EU922100.1,KP962852.1,EU922106.1,EU922138.1,DQ072026.1,,EU922093.1,
Geranium carolinianum,JF976464.1,EU922172.1,,EU922178.1,EU922209.1,,,EU922165.1,
Geranium dissectum,AY944413.1,HM850907.1,,,JX913459.1,AY944421.1,,,
Geranium molle,,HM850908.1,,,KM360803.1,,,,
Pelargonium peltatum,AF256575.1,JQ479113.1,,,JQ479170.1,AF167143.1,,,
Ribes malvaceum var. malvaceum,AF426337.1,,,,,,,,
Ribes viburnifolium,AF426371.1,,,,,,,,
Ribes thacherianum,AF426363.1,,,,,,,,
Juglans californica,AF338474.1,AF118027.1,,,AY293323.1,,,,
Juglans regia,HE574848.1,AF118038.1,,,KF418920.1,AF399881.1,,,
Clinopodium douglasii,JQ669081.1,GU381753.1,,,,GU381592.1,,,
Lamium amplexicaule,JX073977.1,JF779865.1,,,Z37399.1,JF779968.1,L49287.2,AJ236165.1,
Lepechinia fragrans,,,,,AY570388.1,AY570460.1,,,
Marrubium vulgare,KJ021874.1,HQ911499.1,,U78695.1,Z37412.1,EU138366.1,,,
Mentha aquatica,KF735667.1,KC584934.1,,,GU344680.1,AY618512.1,,,
Mentha spicata,DQ667244.1,GU381684.1,,HQ384813.1,KP172039.1,AY570461.1,JX444508.1,HQ384698.1,
Nepeta cataria,AJ515313.1,KT176606.1,,KT176846.1,KT178127.1,DQ667487.1,KT179706.1,KT176250.1,
Salvia apiana,DQ667214.1,KP852668.1,,,KP853018.1,DQ667425.1,,,
Salvia brandegeei,KP852784.1,KP852670.1,,,AY570398.1,KP852896.1,,,
Salvia columbariae,KP852803.1,KP852682.1,,,AY570408.1,AY570475.1,,,
Salvia leucophylla,DQ667210.1,KP852693.1,,,KP853046.1,DQ667422.1,,,
Salvia mellifera,DQ667220.1,KP852698.1,,,KP853047.1,HQ418981.1,,,
Stachys rigida var. rigida,,,,,,KF235733.1,,,
Stachys bullata,KF529576.1,,,,AF502005.1,KF529897.1,,,
Trichostema lanceolatum,,,,AY115902.1,,,,,
Hesperolinon micranthum,KT453437.1,HM544086.1,,FJ160775.1,FJ169561.1,KT453503.1,,,
Mentzelia micrantha,,,,,,AY254274.1,,,
Ammannia robusta,,,,,KF724282.1,,,,
Lythrum hyssopifolia,AY905428.1,KF224979.1,,,L10218.1,,,,
Alcea rosea,EF679714.1,EU346805.1,AY453094.1,EU346847.1,KM360621.1,EF419766.1,,,
Eremalche exilis,AY591823.1,JF799576.1,,JF799579.1,,,,,
Malva assurgentiflora,EF419460.1,EU346780.1,,EU346819.1,,EF419708.1,,,
Malva pseudolavatera,,HM850994.1,,,HM850157.1,,,,
Malva nicaeensis,EF419477.1,EU346785.1,,EU346843.1,AY545894.1,EF419701.1,,,
Malva parviflora,GQ478097.1,EU346786.1,,EU346844.1,HM850158.1,KR738630.1,,,
Malvella leprosa,,,,,KF724297.1,,,,
Sidalcea malviflora ssp. malviflora,AJ512159.1,,,,,,,,
Calandrinia breweri,FJ614059.1,,,,,,,,
Calandrinia menziesii,DQ090317.1,,,AF194835.1,,,,,
Cistanthe maritima,DQ090231.1,,,,,,,,
Claytonia parviflora ssp. parviflora,AY764042.1,AY764093.1,,,,,,,
Claytonia perfoliata ssp. mexicana,DQ498084.1,,,,,,,,
Montia fontana,AY764073.1,AY764119.1,,,KM360886.1,,,,
Ficus carica,GQ395462.1,KM456202.1,,,KM360784.1,,JX444507.1,,
Lysimachia arvensis,AF547709.1,JN893965.1,,AF130212.1,M88343.1,EF437056.1,,AF213774.1,
Lysimachia minima,AY855143.1,JN894204.1,,AY839968.1,HM849772.1,AY855120.1,,,
Eucalyptus camaldulensis,AF190363.1,HQ995676.1,,,,,JX560312.1,,
Eucalyptus cladocalyx,EF488230.1,,,,,,,,
Eucalyptus globulus,KC952021.1,AY521535.1,,HQ287656.1,HQ287598.1,,HQ456544.1,,
Eucalyptus polyanthemos,AF390513.1,,,,,,,,
Eucalyptus sideroxylon,,KM392240.1,,,,,,,
Eucalyptus tereticornis,AY864901.1,,,,,,JX080715.1,,
Abronia umbellata,DQ317096.1,,,,,,,,
Olea europaea,JX862655.1,JX518175.1,,AF130163.1,KC163145.1,AF231866.1,,AJ236163.1,
Camissonia strigulosa,JX885874.1,,,,,,,,
Camissoniopsis hirtella,FJ037812.1,JQ898881.1,AY674520.1,EU002229.1,JQ626071.1,,,AY788225.1,
Camissoniopsis micrantha,HG426445.1,,,,,,,,
Clarkia epilobioides,EF017397.1,,,,,,,,
Clarkia unguiculata,EF017401.1,,,,JN114796.1,,,,
Epilobium brachycarpum,,,,,,AY264509.1,,,
Eulobus californicus,AY271597.1,,,,,AY264585.1,,,
Ludwigia peploides ssp. peploides,,KC996809.1,,,KC996785.1,,,,
Oenothera xenogaura,AJ620523.1,,,,,AY264583.1,,,
Oenothera sinuosa,AJ620532.1,,,,,,,,
Castilleja affinis ssp. affinis,EF103708.1,,,,,EF103857.1,,,
Castilleja attenuata,EF103687.1,,,,,EF103831.1,,,
Castilleja densiflora,EF103689.1,,,,,EF103834.1,,,
Castilleja exserta,EF103688.1,KC542152.1,,,,EF103833.1,,,
Kopsiopsis strobilacea,KC480304.1,JX091313.1,,,AF026818.1,,,,
Orobanche fasciculata,KC480371.1,AF051994.1,,,U73970.2,,U59961.1,,
Orobanche uniflora,AY209297.1,AF051996.1,DQ110351.1,,AY582180.1,,,,
Oxalis articulata ssp. rubra,JN618507.1,,,,HQ644060.1,EU437147.1,,,
Oxalis corniculata,EU436867.1,EU437337.1,AY453111.1,EU437313.1,JN587331.1,EU437088.1,AB233631.1,AB233735.1,
Oxalis pes-caprae,EU436882.1,HM851020.1,,,AM235044.1,EU437145.1,,,
Dendromecon harfordii,JF892634.1,,,,,JF892707.1,,,
Ehrendorferia ochroleuca,,LN610943.1,,,,LN610905.1,,,
Eschscholzia californica,DQ912884.1,KM364806.1,GU351208.1,JN051735.1,KM360775.1,JN051803.1,DQ912869.1,U86390.2,
Eschscholzia ramosa,JF892630.1,,,,,JF892703.1,,,
Papaver californicum,DQ250318.1,,,,,DQ251169.1,,,
Papaver heterophyllum,DQ250295.1,,,,,DQ251146.1,,,
Papaver somniferum,JN584660.1,JN895410.1,,,HM850232.1,AY328242.1,JN584653.1,,
Platystemon californicus,AF305349.1,KM364819.1,,,U86630.1,,,U86399.2,
Romneya coulteri,AF098922.1,KM364823.1,,,U86632.1,,,U86395.2,
Diplacus aurantiacus,AY575389.1,AY849605.1,,AF188186.1,AF026835.1,AY575494.1,,,
Diplacus parviflorus,AY575395.1,,,,,AY575499.1,,,
Diplacus longiflorus,AY575394.1,,,,,,,,
Diplacus brevipes,AY575358.1,,,,,AY575466.1,,,
Diplacus puniceus,AY575387.1,,,,,AY575492.1,,,
Erythranthe cardinalis,AY575414.1,,,,,AF478996.1,,,
Erythranthe floribundus,AY575431.1,,,,,AY575527.1,,,
Erythranthe guttatus,AY575439.1,AY667471.1,HQ593753.1,KJ161984.1,KF997284.1,KJ161975.1,,KJ161980.1,
Pittosporum undulatum,HM116994.1,AJ429374.1,,,HM850262.1,,L15197.1,,
Antirrhinum kelloggii,AF513904.1,,,,,,,,
Antirrhinum multiflorum,AF513897.1,,,KT187853.1,,AF482607.1,,,
Callitriche marginata,,,,,AF248019.1,,,,
Collinsia heterophylla var. heterophylla,AF385337.1,HQ653560.1,,,,,,,
Gambelia speciosa,KC782759.1,EU718054.1,,AJ250384.1,,,,,
Keckiella cordifolia,AF343545.1,AF375200.1,,,,,,,
Kickxia elatine,AY492108.1,JN894549.1,,AJ245816.1,HM850096.1,AY492180.1,,,
Linaria bipartita,KC994567.1,JF694200.1,,KT187811.1,,KF918744.1,,,
Nuttallanthus texanus,AY878113.1,,,JN848491.1,,JN663608.1,,,
Veronica anagallis-aquatica,KJ829432.1,JN894700.1,,,AY034021.1,KJ630672.1,AJ236055.1,AJ236169.1,
Plantago coronopus,AY101882.1,HM851041.1,HQ593751.1,AY818912.1,HM850263.1,AF486419.1,AJ389617.1,,
Plantago elongata,AJ548974.1,,,,,,,,
Plantago erecta,AJ548982.1,,,,,AY101962.1,,,
Plantago lanceolata,AJ548984.1,EU718056.1,HQ593747.1,AF130151.1,L36454.1,AY101952.1,AJ236046.1,AF209656.1,
Plantago major,AY101861.1,EU749326.1,,,HM850266.1,AY101917.1,,,
Plantago maritima,AY101879.1,KC475294.1,HQ593748.1,,HQ593829.1,KJ579146.1,,,
Plantago subnuda,HQ593836.1,,,,,HQ593821.1,,,
Platanus racemosa,FM165346.1,EU169656.1,,,DQ352366.1,DQ352356.1,,,
Armeria maritima ssp. californica,AY179802.1,,,,,,,,
Limonium sinuatum,,,,,Y16900.1,AJ391329.1,,,
Allophyllum glutinosum,EU339728.1,L48564.1,,,,,,,
Eriastrum filifolium,KJ159370.1,,,,,KJ159471.1,,,
Gilia achilleifolia ssp. multicaulis,AF006100.1,,,,,,,,
Gilia angelensis,AF208202.1,EU628541.1,,,,EU628498.1,,,
Gilia capitata ssp. abrotanifolia,AF006106.1,L34182.1,,,,,,,
Gilia clivorum,AF202935.1,,,,,,,,
Gilia nevinii,AF202947.1,,,,,,,,
Leptosiphon bicolor,AF264725.1,AF120118.1,,,,,,,
Leptosiphon parviflorus,AF264728.1,AF120121.1,,,,,,,
Linanthus dianthiflorus,AF027697.1,L48591.1,,,,,,,
Navarretia atractyloides,HQ116858.1,HQ116959.1,,,,HQ117083.1,,,
Navarretia hamata ssp. leptantha,U73864.1,,,,,,,,
Polygala californica,GQ888937.1,AY386842.1,,,,GQ888807.1,,,
Chorizanthe staticoides,JQ352591.1,KC977538.1,,,,JQ352739.1,,,
Eriogonum arborescens,JQ352463.1,,,,,JQ352620.1,,,
Eriogonum cinereum,JQ352481.1,,,,,JQ352635.1,,,
Eriogonum fasciculatum var. polifolium,JQ352513.1,,,,,JQ352667.1,,,
Eriogonum grande var. grande,JQ352522.1,,,,,JQ352676.1,,,
Lastarriaea coriacea,JQ352540.1,KC977545.1,,,,JQ352693.1,,,
Persicaria amphibia,JN235087.1,KC342453.1,,,KM360922.1,EF653803.1,,,
Persicaria lapathifolia,FJ503013.1,HM357925.1,,FJ550628.1,FM883630.1,HQ843157.1,,,
Polygonum argyrocoleon,GQ339969.1,,,,,,,,
Polygonum aviculare ssp. depressum,GQ339963.1,JN895284.1,,,HE963604.1,,,,
Pterostegia drymarioides,GQ206263.1,KC977541.1,,GQ206294.1,GQ206229.1,JQ352725.1,,,
Rumex acetosella,AF189730.1,JN893966.1,,GQ206298.1,HM850316.1,AJ583855.1,,,
Rumex conglomeratus,KT438752.1,KJ204531.1,,,HM850319.1,AJ583856.1,,,
Rumex crispus,KT438753.1,EU840458.1,,EU840374.1,AF372547.1,JQ041851.1,,,
Rumex fueginus,,JN894596.1,,,JN893116.1,,,,
Rumex obtusifolius,GQ340059.1,JN895557.1,,FJ719105.1,AF372549.1,KM385510.1,,,
Rumex pulcher,KT438760.1,HM851087.1,,,HM850323.1,AJ810940.1,,,
Rumex salicifolius,,,,,JX848511.1,,,,
Portulaca oleracea,KM051437.1,AY875349.1,GU351284.1,HQ620949.1,HQ621340.1,LN559092.1,HF565049.1,HQ620749.1,
Primula clevelandii ssp. insularis,,AY647466.1,,,,AY647681.1,,,
Clematis lasiantha,GU732602.1,AB110518.1,,,AB116989.1,,,,
Clematis ligusticifolia,GU732605.1,AB110519.1,,,AB116990.1,,,,
Ranunculus californicus,FM242846.1,FM242782.1,,,,,,,
Oligomeris linifolia,DQ987164.1,AY483240.1,,AY483255.1,AY483272.1,FJ212272.1,,,
Reseda odorata,DQ987134.1,,,,,DQ987026.1,,,
Ceanothus arboreus,HQ325312.1,AF049798.1,,,,,,,
Ceanothus megacarpus var. insularis,HQ325371.1,,,,,,,,
Ceanothus megacarpus var. megacarpus,HQ325372.1,AF049838.1,,,,,,,
Cotoneaster pannosus,JQ392374.1,JQ390973.1,,,JQ391291.1,AF348540.1,,,
Drymocallis glandulosa,,,,,,FR873001.1,,,
Heteromeles arbutifolia,JQ392440.1,DQ860464.1,,,JQ391339.1,DQ863236.1,,,
Holodiscus discolor,EU669091.1,AF288105.1,,EU669113.1,KM360820.1,AF348546.1,DQ886370.1,,
Poterium sanguisorba,AY635039.1,AB073694.1,,,HM850336.1,AY634773.1,,,
Prunus ilicifolia ssp. lyonii,AF318743.1,,,,,AF318696.1,,,
Rosa californica,,AF288123.1,,,,AF348567.1,,,
Rubus ursinus,AF055795.1,AF288124.1,,,,AF348568.1,,,
Galium angustifolium ssp. angustifolium,,,,,,GU357088.1,,,
Galium aparine,AF419179.1,HQ384560.1,DQ110340.1,KT176860.1,KT178140.1,GU357174.1,KT179717.1,KT176272.1,
Galium californicum ssp. flaccidum,,,,,,HM055853.1,,,
Galium catalinense ssp. acrispum,,,,,,HM055856.1,,,
Galium parisiense,,HM850828.1,,,X81102.1,GU357167.1,,,
Ruta chalepensis,,EF489049.1,,,HM850326.1,EF489197.1,,,
Populus trichocarpa,JQ898636.1,KF940886.1,,,KF940826.1,,,,
Salix exigua,EF060374.1,DQ875036.1,,,HE610669.1,,,,
Salix gooddingii,EU784081.1,EU790676.1,,,KM003028.1,,,,
Salix laevigata,,KM002198.1,,,FJ788593.1,,,,
Salix lasiandra var. lasiandra,AY460439.1,,,AF272820.2,U26339.2,GQ465904.1,,,
Salix lasiolepis,,KM002466.1,,,KM003102.1,,,,
Acer macrophyllum,DQ238353.1,,,,DQ978414.1,AF401160.1,,,
Heuchera maxima,AF158956.1,,,,,,,,
Lithophragma affine,AF158916.1,L34130.1,,,,,,,
Lithophragma cymbalaria,AF158935.1,,,,,,,,
Lithophragma maximum,AF158941.1,,,,,,,,
Micranthes californica,,AF114172.1,,,,LM654431.1,,,
Myoporum laetum,EU886847.1,JQ412269.1,,,KT626743.1,,,,
Scrophularia californica,HQ130079.1,HQ384529.1,HQ384796.1,KC692683.1,HQ384892.1,HQ412946.1,AJ236031.1,AJ236175.1,
Scrophularia villosa,HQ130084.1,,,,,,,,
Verbascum thapsus,JQ801746.1,AF052002.1,,KT176849.1,KT178130.1,KM385520.1,KT179709.1,KT176254.1,
Datura wrightii,JX467602.1,KC146604.1,,KC146610.1,,JX467585.1,,,
Lycium brevipes,DQ124621.1,,,,,DQ124569.1,,,
Lycium californicum,DQ124653.1,AB036633.1,,,,DQ124572.1,,,
Lycium fremontii,AF238995.1,,,,,DQ124586.1,,,
Lycopersicum esculentum,KF668233.1,EF439076.1,,U08921.1,KM008708.1,AY098703.1,,,
Nicotiana clevelandii,AJ492444.1,AJ585850.1,,AJ585925.1,,,,,
Nicotiana glauca,GQ478099.1,AB039987.1,,AJ585910.1,JX572792.1,,,AM233332.1,
Nicotiana quadrivalvis,AJ492452.1,AB040012.1,,AJ585933.1,,,,X61316.1,
Calibrachoa parviflora,DQ208030.1,KP756857.1,,EU580869.1,,EU580968.1,,AM233356.1,
Solanum americanum,EF108406.1,JN545023.1,,,KJ773907.1,GU323358.1,,,
Solanum elaeagnifolium,AY996508.1,EU983576.1,,AF224067.1,HM016257.1,DQ855042.1,,,
Solanum wallacei,AF244741.1,,,U47426.1,,,,,
Tamarix aphylla,JN115052.1,KC840667.1,,,KC505173.1,,AY099936.1,,
Tamarix chinensis,KP058316.1,JQ412293.1,AF520098.1,,KP088874.1,KT377364.1,,,
Tamarix parviflora,AY452026.1,,AY453117.1,,,,AY099934.1,,
Tamarix ramosissima,KM657154.1,,,,,KJ729813.1,AY099932.1,,
Samolus parviflorus,HQ284118.1,,,,,HQ284053.1,,,
Tropaeolum majus,JN115053.1,FM179931.1,AF520137.1,AJ236281.1,L14706.2,AB043665.1,L28750.1,,
Hesperocnide tenella,KF558930.1,,,,AF500355.1,KF559050.1,,,
Soleirolia soleirolii,KF137926.1,KF138063.1,,,KM360987.1,KF138411.1,,,
Urtica dioica ssp. holosericea,KF558942.1,,,,,KF559062.1,,,
Urtica urens,KF558889.1,EU002192.1,,EU002271.1,KM361027.1,FJ432264.1,,,
Centranthus ruber,AY310448.1,AF446926.1,,AF447046.1,KM360703.1,KM358532.1,,GQ983626.1,
Phyla nodiflora,JN705435.1,FN773553.1,,JN686634.1,KJ773739.1,FN794070.1,,,
Verbena bracteata,FJ867408.1,HQ384506.1,HQ384798.1,L36418.1,HQ384875.1,HQ412931.1,AJ236042.1,HQ384711.1,
Vitis girdiana,,,,,KT006341.1,GU815426.1,,,
Tribulus terrestris,KF815518.1,KF224985.1,AF520097.1,,DQ267165.1,DQ267174.1,,GQ220747.1,
