taxon,ITS,matK,matR,ndhF,rbcL,trnL-trnF,18S,atpB,
Daucus pusillus,KF467159.1,KJ772712.1,,,KJ773439.1,,,,
Foeniculum vulgare,FJ980396.1,U58563.1,,,KM360787.1,AF044586.1,,,
Sanicula arguta,AF031975.1,,,,,,,,
Sanicula crassicaulis,AF031986.1,,,,,,,,
Sanicula hoffmannii,AF031994.1,,,,,,,,
Torilis arvensis,FJ415110.1,JN895444.1,,,AM234827.1,,,,
Torilis nodosa,U30534.1,JN893952.1,,,HM850404.1,,,,
Yabea microcarpa,AF077121.1,,,,,,,,
Asclepias fascicularis,AM396885.1,,,,,AM295737.1,,,
Vinca major,,HM850836.1,,,HM850466.1,,,,
Achillea millefolium,JQ230971.1,EU385315.1,,EU385124.1,KM360610.1,AY603286.1,KT179658.1,,
Achyrachaena mollis,AF229318.1,,,,,,,,
Acourtia microcephala,FJ979679.1,,,L39408.1,,,,,
Agoseris grandiflora,AF386493.1,,,,,,,,
Agoseris heterophylla,L13954.1,,,,,,,,
Amblyopappus pusillus,AF229292.1,AY215761.1,,AF384692.3,AY215081.1,AY216140.1,,,
Ambrosia psilostachya,,KJ772536.1,,,KJ773262.1,,,,
Anthemis cotula,EU179216.1,JN895749.1,,,HM849779.1,,,,
Arctium minus,KT249920.1,AY013521.1,,KC589921.1,KC589794.1,AY772274.1,,,
Argyranthemum frutescens,EF577287.1,HM850625.1,,EU334459.1,HM849790.1,EF577340.1,,,
Artemisia californica,JX051687.1,,,,,JX073772.1,,,
Artemisia douglasiana,JX051723.1,,,,KF613102.1,JX073801.1,,,
Artemisia dracunculus,JX051718.1,HQ593182.1,,,,KF736819.1,,,
Artemisia nesiotica,JX051686.1,,,,,JX073771.1,,,
Baccharis salicifolia,EF190032.1,,,,,,,,
Bahiopsis laciniata,AF496929.1,,,,,,,,
Brickellia californica,KM668961.1,,,,,,,,
Calendula officinalis,AF422114.1,AF151446.1,,L39439.1,JQ933250.1,HQ439868.1,,,
Carduus pycnocephalus,EF123105.1,AY013528.1,,,,KC969561.1,,,
Centaurea benedicta,KC603917.1,AY013508.1,,,,KC969565.1,,,
Centaurea melitensis,HQ540425.1,EU385332.1,,EU385140.1,EU384954.1,EU385047.1,,,
Centaurea solstitialis,DQ319163.1,KC969491.1,,,,KC969575.1,,,
Cichorium intybus,JQ230974.1,AJ633132.1,,L39390.1,KM360720.1,GU817987.1,,AJ235433.1,
Cirsium brevistylum,AF443685.1,KC969502.1,,,,KC969586.1,,,
Cirsium occidentale var. venustum,AF443703.1,,,,,,,,
Cirsium ochrocentrum,KC969553.1,KC969515.1,,,,KC969600.1,,,
Cirsium undulatum,JX867635.1,,,,JX848407.1,,KT179661.1,,
Cirsium vulgare,JX867638.1,KC969523.1,,,HM849899.1,AF129826.1,,,
Constancea nevinii,AF229297.1,AY215794.1,,AF384721.3,AY215113.1,AY216172.1,,,
Corethrogyne filaginifolia,JX680498.1,,,,,,,,
Cotula australis,EU352241.1,,,,KT626684.1,,,,
Cotula coronopifolia,AF422118.1,AY554071.1,,GU817849.1,KM360735.1,GU817960.1,,,
Crepis setosa,KT249906.1,KT250100.1,,,HE963438.1,,,,
Cynara cardunculus,JX867643.1,,,AB530947.1,,AF129828.1,,,
Deinandra clementina,EF059624.1,,,,,,,,
Deinandra fasciculata,EF059605.1,,,,,,,,
Deinandra increscens ssp. increscens,EF059688.1,,,,,,,,
Delairea odorata,GU818542.1,HM850629.1,,L39435.1,L13933.1,GU817992.1,,,
Encelia californica,DQ383856.1,AY215790.1,,AF384717.2,AY215109.1,AY216168.1,,,
Ericameria ericoides,U97607.1,,,,,,,,
Erigeron bonariensis,GQ470550.1,JX518235.1,,,KJ773397.1,,,,
Erigeron canadensis,EF108397.1,KJ204460.1,,,KM360730.1,JQ041864.1,,,
Erigeron glaucus,AF118499.1,,,,KM360769.1,,,,
Eriophyllum staechadifolium,AF229284.1,AY215793.1,,,AY215112.1,AY216171.1,,,
Eurybia radulina,EU200208.1,,,,,GU480701.1,,,
Euthamia occidentalis,AF477651.1,,,,,,,,
Gamochaeta ustulata,AY947411.1,HM850638.1,,,HM850036.1,,,,
Glebionis coronaria,EF577292.1,,,EU334465.1,HM849892.1,JN315915.1,,,
Gnaphalium palustre,KT865481.1,,,,,,,,
Grindelia camporum,JQ011930.1,,,,,,,,
Grindelia hirsutula,JQ011899.1,,,,,,,,
Grindelia stricta var. platyphylla,JQ011941.1,,,,,,,,
